mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	2	1	F.I6{			F	I		I6		I		6				{	M	0	0	3, 0, -1		-1	3	0	3	0.0	0.0	1.0	0.0
1	1	1/2	1/2	2/2	2	1	I			F	I		I		I							M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.0	0.0
2	2	0	0	2/2	2	1	V2			F	I		V2		V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	1	5	0.16666666666666666	0.125	0.875	0.125
2	2	1/2	1/2	2/2	2	1	I6			F	I		I6		I		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	1.0	0.0
3	3	0	0	2/2	2	1	V2			F	I		V2		V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	1	5	0.16666666666666666	0.125	0.875	0.125
3	3	1/2	1/2	2/2	2	1	I6			F	I		I6		I		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	1.0	0.0
4	4	0	0	2/2	2	1	V43			F	I		V43		V		43					Mm7	0	0	1, -2, 0, 4		0	1	0	4	0.0	0.0	1.5	0.0
4	4	1/4	1/4	2/2	2	1	V65			F	I		V65		V		65					Mm7	0	0	4, 1, -2, 0		0	4	0	3	0.0	0.0	0.5	0.0
4	4	1/2	1/2	2/2	2	1	I			F	I		I		I							M	0	0	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
4	4	3/4	3/4	2/2	2	1	I6			F	I		I6		I		6					M	0	0	3, 0, -1		-1	3	0	3	0.0	0.0	0.5	0.0
5	5	0	0	2/2	2	1	IV			F	I		IV		IV							M	0	0	-2, 2, -1		-2	-2	1	3	0.25	0.125	0.875	0.125
5	5	1/2	1/2	2/2	2	1	vi		IV6	F	I		vi		vi							m	0	0	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
5	5	3/4	3/4	2/2	2	1	V65/V			F	I		V65/V		V		65		V			Mm7	0	0	5, 2, -1, 1		1	5	0	3	0.0	0.0	0.75	0.0
6	6	0	0	2/2	2	1	V(4)}			F	I		V(4)		V			4			}	M	0	0	0, -1, 1		0	0	0	3	0.0	0.0	1.25	0.0
6	6	1/4	1/4	2/2	2	1	V			F	I		V		V							M	0	0	0, 4, 1		0	0	3	5	0.375	0.375	0.875	0.3
7	7	0	0	2/2	2	1	I6{			F	I		I6		I		6				{	M	0	0	3, 0, -1		-1	3	0	3	0.0	0.0	1.0	0.0
7	7	1/2	1/2	2/2	2	1	I			F	I		I		I							M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	1.0	0.0
8	8	0	0	2/2	2	1	V2			F	I		V2		V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	1	5	0.16666666666666666	0.125	0.875	0.125
8	8	1/2	1/2	2/2	2	1	I6			F	I		I6		I		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	1.0	0.0
9	9	0	0	2/2	2	1	V2			F	I		V2		V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	1	5	0.16666666666666666	0.125	0.875	0.125
9	9	1/2	1/2	2/2	2	1	I6			F	I		I6		I		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	1.0	0.0
