mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	F.I[I{		F	I	I	I		I						{	M	0	0	-1, 3, 0		-1	-1	3	24	0.1111111111111111	0.1875	5.1875	0.03488372093023256
3	3	1/4	1/4	3/4	2	1	viio6		F	I	I	viio6		vii	o	6					o	0	0	1, -2, 4		4	1	2	5	0.2857142857142857	0.25	0.75	0.25
3	3	1/2	1/2	3/4	2	1	V7/IV		F	I	I	V7/IV		V		7		IV			Mm7	0	0	-1, 3, 0, -3		-1	-1	0	7	0.0	0.0	1.0	0.0
4	4	0	0	3/4	2	1	IV		F	I	I	IV		IV							M	0	0	-2, 2, -1		-2	-2	0	19	0.0	0.0	2.5	0.0
5	5	0	0	3/4	2	1	V43		F	I	I	V43		V		43					Mm7	0	0	1, -2, 0, 4		0	1	6	15	0.2857142857142857	0.75	2.0	0.2727272727272727
6	6	0	0	3/4	2	1	I]		F	I	I	I		I							M	0	0	-1, 3, 0		-1	-1	1	20	0.047619047619047616	0.125	2.625	0.045454545454545456
7	7	0	0	3/4	2	1	V65		F	I		V65		V		65					Mm7	0	0	4, 1, -2, 0		0	4	5	10	0.3333333333333333	0.3125	1.1875	0.20833333333333334
8	8	0	0	3/4	2	1	I		F	I		I		I							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.625	0.0
8	8	1/4	1/4	3/4	2	1	V43		F	I		V43		V		43					Mm7	0	0	1, -2, 0, 4		0	1	0	5	0.0	0.0	0.5	0.0
8	8	1/2	1/2	3/4	2	1	I6		F	I		I6		I		6					M	0	0	3, 0, -1		-1	3	0	5	0.0	0.0	0.375	0.0
9	9	0	0	3/4	2	1	IV		F	I		IV		IV							M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
9	9	1/4	1/4	3/4	2	1	ii6		F	I		ii6		ii		6					m	0	0	-2, 2, 1		1	-2	0	3	0.0	0.0	0.375	0.0
9	9	1/2	1/2	3/4	2	1	V		F	I		V		V							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
10	10	0	0	3/4	2	1	V65|EC		F	I		V65		V		65			EC		Mm7	0	0	4, 1, -2, 0		0	4	5	10	0.3333333333333333	0.3125	1.1875	0.20833333333333334
11	11	0	0	3/4	2	1	I		F	I		I		I							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.625	0.0
11	11	1/4	1/4	3/4	2	1	viio6		F	I		viio6		vii	o	6					o	0	0	1, -2, 4		4	1	0	5	0.0	0.0	0.5	0.0
11	11	1/2	1/2	3/4	2	1	I6		F	I		I6		I		6					M	0	0	3, 0, -1		-1	3	0	5	0.0	0.0	0.375	0.0
12	12	0	0	3/4	2	1	IV		F	I		IV		IV							M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
12	12	1/4	1/4	3/4	2	1	ii6		F	I		ii6		ii		6					m	0	0	-2, 2, 1		1	-2	0	3	0.0	0.0	0.375	0.0
12	12	1/2	1/2	3/4	2	1	V		F	I		V		V							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
13	13	0	0	3/4	2	1	I|PAC}{		F	I		I		I					PAC	}{	M	0	0	-1, 3, 0		-1	-1	0	8	0.0	0.0	1.0	0.0
13	13	1/2	1/2	3/4	2	1	V7		F	I		V7		V		7					Mm7	0	0	0, 4, 1, -2		0	0	0	5	0.0	0.0	0.75	0.0
14	14	0	0	3/4	2	1	I		F	I		I		I							M	0	0	-1, 3, 0		-1	-1	0	5	0.0	0.0	0.75	0.0
14	14	1/4	1/4	3/4	2	1	V		F	I		V		V							M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.25	0.0
14	14	1/2	1/2	3/4	2	1	I64		F	I		I64		I		64					M	0	0	0, -1, 3		-1	0	0	3	0.0	0.0	0.25	0.0
15	15	0	0	3/4	2	1	V7		F	I		V7		V		7					Mm7	0	0	0, 4, 1, -2		0	0	0	8	0.0	0.0	1.0	0.0
