mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	2	1	A.I{		A	I		I	I						{	M	0	0	3, 7, 4		3	3	2	6	0.25	0.125	1.0	0.1111111111111111
1	1	3/8	3/8	6/8	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	6	0.0	0.0	1.125	0.0
2	2	0	0	6/8	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4	8	2	6	0.25	0.125	1.0	0.1111111111111111
2	2	3/8	3/8	6/8	2	1	V43		A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	6	0.0	0.0	1.125	0.0
3	3	0	0	6/8	2	1	vi7		A	I		vi7	vi		7					mm7	0	0	6, 3, 7, 4		6	6	0	6	0.0	0.0	1.125	0.0
3	3	3/8	3/8	6/8	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4	8	0	6	0.0	0.0	1.125	0.0
4	4	0	0	6/8	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.75	0.0
4	4	1/4	1/4	6/8	2	1	ii6		A	I		ii6	ii		6					m	0	0	2, 6, 5		5	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
4	4	3/8	3/8	6/8	2	1	V(64)}		A	I		V(64)	V			64			}	M	0	0	4, 3, 7		4	4	0	3	0.0	0.0	0.875	0.0
4	4	5/8	5/8	6/8	2	1	V|HC		A	I		V	V					HC		M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
5	5	0	0	6/8	2	1	I{		A	I		I	I						{	M	0	0	3, 7, 4		3	3	2	6	0.25	0.125	1.0	0.1111111111111111
5	5	3/8	3/8	6/8	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	6	0.0	0.0	1.125	0.0
6	6	0	0	6/8	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4	8	2	6	0.25	0.125	1.0	0.1111111111111111
6	6	3/8	3/8	6/8	2	1	V43		A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	6	0.0	0.0	1.125	0.0
7	7	0	0	6/8	2	1	vi7		A	I		vi7	vi		7					mm7	0	0	6, 3, 7, 4		6	6	0	3	0.0	0.0	0.75	0.0
7	7	1/4	1/4	6/8	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4	8	0	3	0.0	0.0	0.375	0.0
7	7	3/8	3/8	6/8	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.75	0.0
7	7	5/8	5/8	6/8	2	1	ii6		A	I		ii6	ii		6					m	0	0	2, 6, 5		5	2	0	4	0.0	0.0	0.5	0.0
8	8	0	0	6/8	2	1	V(64)		A	I		V(64)	V			64				M	0	0	4, 3, 7		4	4	0	4	0.0	0.0	1.0	0.0
8	8	1/4	1/4	6/8	2	1	V7		A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.5	0.0
8	8	3/8	3/8	6/8	2	1	I|PAC}		A	I		I	I					PAC	}	M	0	0	3, 7, 4		3	3	1	9	0.1	0.0625	1.6875	0.03571428571428571
9	9	3/8	3/8	6/8	2	1	IV64		A	I		IV64	IV		64					M	0	0	3, 2, 6		2	3	2	11	0.15384615384615385	0.0625	1.4375	0.041666666666666664
10	10	3/8	3/8	6/8	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3	3	1	10	0.09090909090909091	0.125	1.5	0.07692307692307693
11	11	3/8	3/8	6/8	2	1	V65		A	I		V65	V		65					Mm7	0	0	8, 5, 2, 4		4	8	0	5	0.0	0.0	0.875	0.0
12	12	0	0	6/8	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3	3	0	4	0.0	0.0	0.75	0.0
12	12	1/4	1/4	6/8	2	1	viio6/V		A	I		viio6/V	vii	o	6		V			o	0	0	6, 3, 9		9	6	0	3	0.0	0.0	0.375	0.0
12	12	3/8	3/8	6/8	2	1	V(64)}		A	I		V(64)	V			64			}	M	0	0	4, 3, 7		4	4	0	4	0.0	0.0	1.25	0.0
12	12	5/8	5/8	6/8	2	1	V|HC		A	I		V	V					HC		M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
13	13	0	0	6/8	2	1	I{		A	I		I	I						{	M	0	0	3, 7, 4		3	3	2	6	0.25	0.125	1.0	0.1111111111111111
13	13	3/8	3/8	6/8	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	6	0.0	0.0	1.125	0.0
14	14	0	0	6/8	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4	8	2	6	0.25	0.125	1.0	0.1111111111111111
14	14	3/8	3/8	6/8	2	1	V43		A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	6	0.0	0.0	1.125	0.0
15	15	0	0	6/8	2	1	vi7		A	I		vi7	vi		7					mm7	0	0	6, 3, 7, 4		6	6	0	3	0.0	0.0	0.75	0.0
15	15	1/4	1/4	6/8	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4	8	0	3	0.0	0.0	0.375	0.0
15	15	3/8	3/8	6/8	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.75	0.0
15	15	5/8	5/8	6/8	2	1	ii6		A	I		ii6	ii		6					m	0	0	2, 6, 5		5	2	0	4	0.0	0.0	0.5	0.0
16	16	0	0	6/8	2	1	V(64)		A	I		V(64)	V			64				M	0	0	4, 3, 7		4	4	0	4	0.0	0.0	1.0	0.0
16	16	1/4	1/4	6/8	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4	4	0	4	0.0	0.0	0.5	0.0
16	16	3/8	3/8	6/8	2	1	I(97)}		A	I		I(97)	I			97			}	M	0	0	3, 7, 4	5, 8	3	3	0	4	0.0	0.0	1.25	0.0
16	16	5/8	5/8	6/8	2	1	I|IAC		A	I		I	I					IAC		M	0	0	3, 7, 4		3	3	0	7	0.0	0.0	1.5	0.0
17	17	1/4	1/4	6/8	2	1	V43		A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	5	0.0	0.0	0.625	0.0
17	17	3/8	3/8	6/8	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	5	0.0	0.0	1.25	0.0
17	17	5/8	5/8	6/8	2	1	IV		A	I		IV	IV							M	0	0	2, 6, 3		2	2	1	4	0.2	0.03125	0.34375	0.08333333333333333
18	18	0	0	6/8	2	1	V(64)		A	I		V(64)	V			64				M	0	0	4, 3, 7		4	4	0	3	0.0	0.0	0.75	0.0
18	18	1/4	1/4	6/8	2	1	V7		A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	1	4	0.2	0.0625	0.4375	0.125
18	18	3/8	3/8	6/8	2	1	I|PAC}		A	I		I	I					PAC	}	M	0	0	3, 7, 4		3	3	2	9	0.18181818181818182	0.125	1.4375	0.08
19	19	3/8	3/8	6/8	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3	7	2	5	0.2857142857142857	0.125	0.4375	0.2222222222222222
20	20	0	0	6/8	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4	8	1	6	0.14285714285714285	0.0625	0.5	0.1111111111111111
20	20	3/8	3/8	6/8	2	1	V43		A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	1	6	0.14285714285714285	0.0625	0.5	0.1111111111111111
21	21	0	0	6/8	2	1	vi7		A	I		vi7	vi		7					mm7	0	0	6, 3, 7, 4		6	6	2	5	0.2857142857142857	0.125	0.4375	0.2222222222222222
21	21	3/8	3/8	6/8	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4	8	2	5	0.2857142857142857	0.125	0.4375	0.2222222222222222
22	22	0	0	6/8	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
22	22	1/4	1/4	6/8	2	1	ii6		A	I		ii6	ii		6					m	0	0	2, 6, 5		5	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
22	22	3/8	3/8	6/8	2	1	V|HC}		A	I		V	V					HC	}	M	0	0	4, 8, 5		4	4	3	5	0.375	0.1875	0.6875	0.21428571428571427
23	23	0	0	6/8	2	1	I{		A	I		I	I						{	M	0	0	3, 7, 4		3	3	4	19	0.17391304347826086	0.5	1.875	0.21052631578947367
24	24	0	0	6/8	2	1	V		A	I		V	V							M	0	0	4, 8, 5		4	4	0	10	0.0	0.0	1.0	0.0
24	24	1/4	1/4	6/8	2	1	V(64)		A	I		V(64)	V			64				M	0	0	4, 3, 7		4	4	1	9	0.1	0.125	1.0	0.1111111111111111
24	24	1/2	1/2	6/8	2	1	V7		A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	8	0.0	0.0	0.625	0.0
25	25	0	0	6/8	2	1	vi		A	I		vi	vi							m	0	0	6, 3, 7		6	6	0	6	0.0	0.0	0.5	0.0
25	25	1/4	1/4	6/8	2	1	V6		A	I		V6	V		6					M	0	0	8, 5, 4		4	8	1	4	0.2	0.03125	0.21875	0.125
25	25	3/8	3/8	6/8	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3	3	0	6	0.0	0.0	0.5	0.0
25	25	5/8	5/8	6/8	2	1	ii6		A	I		ii6	ii		6					m	0	0	2, 6, 5		5	2	0	5	0.0	0.0	0.5	0.0
26	26	0	0	6/8	2	1	V(64)		A	I		V(64)	V			64				M	0	0	4, 3, 7		4	4	0	10	0.0	0.0	1.0	0.0
26	26	1/4	1/4	6/8	2	1	V7		A	I		V7	V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	5	0.0	0.0	0.5	0.0
26	26	3/8	3/8	6/8	2	1	I|PAC}		A	I		I	I					PAC	}	M	0	0	3, 7, 4		3	3	2	10	0.16666666666666666	0.125	1.0625	0.10526315789473684
27	27	3/8	3/8	6/8	2	1	IV64		A	I		IV64	IV		64					M	0	0	3, 2, 6		2	3	7	12	0.3684210526315789	0.5	1.1875	0.2962962962962963
28	28	3/8	3/8	6/8	2	1	I		A	I		I	I							M	0	0	3, 7, 4		3	3	1	15	0.0625	0.0625	2.0	0.030303030303030304
29	29	3/8	3/8	6/8	2	1	V43		A	I		V43	V		43					Mm7	0	0	5, 2, 4, 8		4	5	0	9	0.0	0.0	1.5	0.0
30	30	0	0	6/8	2	1	I6		A	I		I6	I		6					M	0	0	7, 4, 3		3	7	0	6	0.0	0.0	0.75	0.0
30	30	1/4	1/4	6/8	2	1	vii%7/V		A	I		vii%7/V	vii	%	7		V			%7	0	0	9, 6, 3, 7		9	9	0	5	0.0	0.0	0.5	0.0
30	30	3/8	3/8	6/8	2	1	V(64)}		A	I		V(64)	V			64			}	M	0	0	4, 3, 7		4	4	0	4	0.0	0.0	1.25	0.0
