mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
0	1	0	4/4	1	0	2	firstMeasure					1
1	2	0	4/4	1	0	2.0						2
2	3	0	4/4	1	0	2.0						3
3	4	0	4/4	1	0	2.0						4
4	5	0	4/4	1	0	2.0						5
5	6	0	4/4	1	0	2.0						6
6	7	0	4/4	1	0	2.0						7
7	8	0	4/4	1	0	2.0						8
8	9	0	4/4	1	0	2.0						9
9	10	0	4/4	1	0	2.0						10
10	11	0	4/4	1	0	2.0						11
11	12	0	4/4	1	0	2.0						12
12	13	0	4/4	1	0	2.0						13
13	14	0	4/4	1	0	2.0						14
14	15	0	4/4	1	0	2.0						15
15	16	0	4/4	1	0	2.0						16
16	17	0	4/4	1	0	2.0						17
17	18	0	4/4	1	0	2.0						18
18	19	0	4/4	1	0	2.0						19
19	20	0	4/4	1	0	2.0						20
20	21	0	4/4	1	0	2.0						21
21	22	0	4/4	1	0	2.0						22
22	23	0	4/4	1	0	2.0						23
23	24	0	4/4	1	0	2.0						24
24	25	0	4/4	1	0	2.0						25
25	26	0	4/4	1	0	2.0						26
26	27	0	4/4	1	0	2.0						27
27	28	0	4/4	1	0	2.0						28
28	29	0	4/4	1	0	2.0						29
29	30	0	4/4	1	0	2.0						30
30	31	0	4/4	1	0	2.0						31
31	32	0	4/4	1	0	2.0						32
32	33	0	4/4	1	0	2.0						33
33	34	0	4/4	1	0	2.0						34
34	35	0	4/4	1	0	2.0						35
35	36	0	4/4	1	0	2.0						36
36	37	0	4/4	1	0	2.0						37
37	38	0	4/4	1	0	2.0						38
38	39	0	4/4	1	0	2.0						39
39	40	0	4/4	1	0	2.0						40
40	41	0	4/4	1	0	2.0						41
41	42	0	4/4	1	0	2.0						42
42	43	0	4/4	1	0	2.0						43
43	44	0	4/4	1	0	2.0						44
44	45	0	4/4	1	0	2.0						45
45	46	0	4/4	1	0	2.0						46
46	47	0	4/4	1	0	2.0						47
47	48	0	4/4	1	0	2.0						48
48	49	0	4/4	1	0	2.0						49
49	50	0	4/4	1	0	2.0						50
50	51	0	4/4	1	0	3.0						51
51	52	0	4/4	1	0	2.0						52
52	53	0	4/4	1	0	2.0						53
53	54	0	4/4	1	0	2.0						54
54	55	0	4/4	1	0	2.0						55
55	56	0	4/4	1	0	2.0						56
56	57	0	4/4	1	0	2.0						57
57	58	0	4/4	1	0	2.0	endRepeat					58, 0
58	59	0	4/4	1	0	2	startRepeat		start-repeat			59
59	60	0	4/4	1	0	2.0						60
60	61	0	4/4	1	0	2.0						61
61	62	0	4/4	1	0	2.0						62
62	63	0	4/4	1	0	2.0						63
63	64	0	4/4	1	0	2.0						64
64	65	0	4/4	1	0	2.0						65
65	66	0	4/4	1	0	2.0						66
66	67	0	4/4	1	0	3.0						67
67	68	0	4/4	1	0	2.0						68
68	69	0	4/4	1	0	3.0						69
69	70	0	4/4	1	0	3.0						70
