mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	3/4	3/4	0						firstMeasure	2
2	2	-1	3/4	3/4	0							3
3	3	-1	3/4	3/4	0							4
4	4	-1	3/4	3/4	0					line		5
5	5	-1	3/4	3/4	0							6
6	6	-1	3/4	3/4	0							7
7	7	-1	3/4	3/4	0							8
8	8	-1	3/4	3/4	0					line		9
9	9	-1	3/4	3/4	0							10
10	10	-1	3/4	3/4	0							11
11	11	-1	3/4	3/4	0							12
12	12	-1	3/4	3/4	0					line		13
13	13	-1	3/4	3/4	0							14
14	14	-1	3/4	3/4	0							15
15	15	-1	3/4	3/4	0							16
16	16	-1	3/4	3/4	0					line		17
17	17	-1	3/4	3/4	0							18
18	18	-1	3/4	3/4	0							19
19	19	-1	3/4	3/4	0					line		20
20	20	-1	3/4	3/4	0							21
21	21	-1	3/4	3/4	0							22
22	22	-1	3/4	3/4	0					line		23
23	23	-1	3/4	3/4	0							24
24	24	-1	3/4	3/4	0							25
25	25	-1	3/4	3/4	0					line		26
26	26	-1	3/4	3/4	0							27
27	27	-1	3/4	3/4	0					line		28
28	28	-1	3/4	3/4	0							29
29	29	-1	3/4	3/4	0							30
30	30	-1	3/4	3/4	0					line		31
31	31	-1	3/4	3/4	0							32
32	32	-1	3/4	3/4	0							33
33	33	-1	3/4	3/4	0							34
34	34	-1	3/4	3/4	0					line		35
35	35	-1	3/4	3/4	0							36
36	36	-1	3/4	3/4	0							37
37	37	-1	3/4	3/4	0							38
38	38	-1	3/4	3/4	0					line		39
39	39	-1	3/4	3/4	0							40
40	40	-1	3/4	3/4	0							41
41	41	-1	3/4	3/4	0							42
42	42	-1	3/4	3/4	0					line		43
43	43	-1	3/4	3/4	0							44
44	44	-1	3/4	3/4	0							45
45	45	-1	3/4	3/4	0							46
46	46	-1	3/4	3/4	0					line		47
47	47	-1	3/4	3/4	0							48
48	48	-1	3/4	3/4	0							49
49	49	-1	3/4	3/4	0							50
50	50	-1	3/4	3/4	0					line		51
51	51	-1	3/4	3/4	0							52
52	52	-1	3/4	3/4	0							53
53	53	-1	3/4	3/4	0					line		54
54	54	-1	3/4	3/4	0							55
55	55	-1	3/4	3/4	0							56
56	56	-1	3/4	3/4	0					line		57
57	57	-1	3/4	3/4	0							58
58	58	-1	3/4	3/4	0							59
59	59	-1	3/4	3/4	0					line		60
60	60	-1	3/4	3/4	0							61
61	61	-1	3/4	3/4	0					line		62
62	62	-1	3/4	3/4	0							63
63	63	-1	3/4	3/4	0					line		64
64	64	-1	3/4	3/4	0							65
65	65	-1	3/4	3/4	0							66
66	66	-1	3/4	3/4	0					line		67
67	67	-1	3/4	3/4	0							68
68	68	-1	3/4	3/4	0					line		69
69	69	-1	3/4	3/4	0							70
70	70	-1	3/4	3/4	0							71
71	71	-1	3/4	3/4	0							72
72	72	-1	3/4	3/4	0					line		73
73	73	-1	3/4	3/4	0							74
74	74	-1	3/4	3/4	0							75
75	75	-1	3/4	3/4	0					line		76
76	76	-1	3/4	3/4	0							77
77	77	-1	3/4	3/4	0							78
78	78	-1	3/4	3/4	0							79
79	79	-1	3/4	3/4	0				end	line	lastMeasure	-1
