mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
0	1	1	2/4	1/2	0	3	firstMeasure					1
1	2	1	2/4	1/2	0	3.0						2
2	3	1	2/4	1/2	0	2.0						3
3	4	1	2/4	1/2	0	2.0						4
4	5	1	2/4	1/2	0	3.0						5
5	6	1	2/4	1/2	0	3.0						6
6	7	1	2/4	1/2	0	3.0						7
7	8	1	2/4	1/2	0	3.0						8
8	9	1	2/4	1/2	0	3.0						9
9	10	1	2/4	1/2	0	3.0						10
10	11	1	2/4	1/2	0	3.0	endRepeat					11, 0
11	12	1	2/4	1/2	0	2.0						12
12	13	1	2/4	1/2	0	2.0						13
13	14	1	2/4	1/2	0	2.0						14
14	15	1	2/4	1/2	0	2.0						15
15	16	1	2/4	1/2	0	2.0						16
16	17	1	2/4	1/2	0	2.0						17
17	18	1	2/4	1/2	0	2.0						18
18	19	1	2/4	1/2	0	2.0						19
19	20	1	2/4	1/2	0	2.0						20
20	21	1	2/4	1/2	0	2.0						21
21	22	1	2/4	1/2	0	2.0						22
22	23	1	2/4	1/2	0	2.0						23
23	24	1	2/4	1/2	0	2.0						24
24	25	1	2/4	1/2	0	2.0						25
25	26	1	2/4	1/2	0	2.0						26
26	27	1	2/4	1/2	0	2.0						27
27	28	1	2/4	1/2	0	2.0						28
28	29	1	2/4	1/2	0	2.0						29
29	30	1	2/4	1/2	0	2.0						30
30	31	1	2/4	1/2	0	2.0						31
31	32	1	2/4	1/2	0	3.0						32
32	33	1	2/4	1/2	0	2.0						33
33	34	1	2/4	1/2	0	2.0						34
34	35	1	2/4	1/2	0	2.0						35
35	36	1	2/4	1/2	0	2.0						36
36	37	1	2/4	1/2	0	2.0						37
37	38	1	2/4	1/2	0	2.0						38
38	39	1	2/4	1/2	0	3.0						39
39	40	1	2/4	1/2	0	3.0						40
40	41	1	2/4	1/2	0	2.0						41
41	42	1	2/4	1/2	0	3.0						42
42	43	1	2/4	1/2	0	3.0						43
43	44	1	2/4	1/2	0	3.0						44
44	45	1	2/4	1/2	0	3.0						45
45	46	1	2/4	1/2	0	3.0						46
46	47	1	2/4	1/2	0	3.0						47
47	48	1	2/4	1/2	0	3.0						48
48	49	1	2/4	1/2	0	3.0						49
49	50	1	2/4	1/2	0	2.0						50
50	51	1	2/4	1/2	0	2.0						51
51	52	1	2/4	1/2	0	2.0						52
52	53	1	2/4	1/2	0	2.0						53
53	54	1	2/4	1/2	0	2.0						54
54	55	1	2/4	1/2	0	2.0						55
55	56	1	2/4	1/2	0	2.0						56
56	57	1	2/4	1/2	0	2.0						57
57	58	1	2/4	1/2	0	2.0						58
58	59	1	2/4	1/2	0	2.0						59
59	60	1	2/4	1/2	0	2.0						60
60	61	1	2/4	1/2	0	2.0						61
61	62	1	2/4	1/2	0	2.0						62
62	63	1	2/4	1/2	0	2.0						63
63	64	1	2/4	1/2	0	2.0						64
64	65	1	2/4	1/2	0	2.0						65
65	66	1	2/4	1/2	0	2.0						66
66	67	1	2/4	1/2	0	2.0						67
67	68	1	2/4	1/2	0	3.0						68
68	69	1	2/4	1/2	0	2.0						69
69	70	1	2/4	1/2	0	2.0						70
70	71	1	2/4	1/2	0	2.0						71
71	72	1	2/4	1/2	0	2.0						72
72	73	1	2/4	1/2	0	2.0						73
73	74	1	2/4	1/2	0	2.0						74
74	75	1	2/4	1/2	0	3.0						75
75	76	1	2/4	1/2	0	3.0						76
76	77	1	2/4	1/2	0	2.0						77
77	78	1	2/4	1/2	0	3.0						78
78	79	1	2/4	1/2	0	3.0						79
79	80	1	2/4	1/2	0	2.0						80
80	81	1	2/4	1/2	0	2.0						81
81	82	1	2/4	1/2	0	3.0						82
82	83	1	2/4	1/2	0	3.0						83
83	84	1	2/4	1/2	0	3.0						84
84	85	1	2/4	1/2	0	3.0						85
85	86	1	2/4	1/2	0	3.0						86
86	87	1	2/4	1/2	0	3.0						87
87	88	1	2/4	1/2	0	3.0						88
88	89	1	2/4	1/2	0	3.0						89
89	90	1	2/4	1/2	0	2.0						90
90	91	1	2/4	1/2	0	2.0						91
91	92	1	2/4	1/2	0	2.0						92
92	93	1	2/4	1/2	0	2	lastMeasure		end			
