mc	mn	keysig	timesig	act_dur	mc_offset	breaks	repeats	volta	barline	numbering_offset	dont_count	next
1	0	0	2/4	1/4	1/4		firstMeasure				1	2
2	1	0	2/4	1/2	0							3
3	2	0	2/4	1/2	0							4
4	3	0	2/4	1/2	0							5
5	4	0	2/4	1/2	0							6
6	5	0	2/4	1/2	0							7
7	6	0	2/4	1/2	0							8
8	7	0	2/4	1/2	0							9
9	8	0	2/4	1/4	0		end					1, 10
10	8	0	2/4	1/4	1/4		start				1	11
11	9	0	2/4	1/2	0							12
12	10	0	2/4	1/2	0							13
13	11	0	2/4	1/2	0							14
14	12	0	2/4	1/2	0							15
15	13	0	2/4	1/2	0							16
16	14	0	2/4	1/2	0							17
17	15	0	2/4	1/2	0							18
18	16	0	2/4	1/2	0							19
19	17	0	2/4	1/2	0							20
20	18	0	2/4	1/2	0							21
21	19	0	2/4	1/2	0							22
22	20	0	2/4	1/2	0							23
23	21	0	2/4	1/2	0							24
24	22	0	2/4	1/2	0							25
25	23	0	2/4	1/2	0							26
26	24	0	2/4	1/4	0		end					10, 27
27	24	3	2/4	1/4	1/4		start		start-repeat		1	28
28	25	3	2/4	1/2	0							29
29	26	3	2/4	1/2	0							30
30	27	3	2/4	1/2	0							31
31	28	3	2/4	1/2	0							32
32	29	3	2/4	1/2	0							33
33	30	3	2/4	1/2	0							34
34	31	3	2/4	1/2	0							35
35	32	3	2/4	1/4	0		end					27, 36
36	32	3	2/4	1/4	1/4		start				1	37
37	33	3	2/4	1/2	0							38
38	34	3	2/4	1/2	0							39
39	35	3	2/4	1/2	0							40
40	36	3	2/4	1/2	0							41
41	37	3	2/4	1/2	0							42
42	38	3	2/4	1/2	0							43
43	39	3	2/4	1/2	0							44
44	40	3	2/4	1/4	0		end					36, 45
45	40	3	2/4	1/4	1/4		start				1	46
46	41	3	2/4	1/2	0							47
47	42	3	2/4	1/2	0							48
48	43	3	2/4	1/2	0							49
49	44	3	2/4	1/2	0							50
50	45	3	2/4	1/2	0							51
51	46	3	2/4	1/2	0							52
52	47	3	2/4	1/2	0							53
53	48	3	2/4	1/2	0							54
54	49	3	2/4	1/2	0							55
55	50	3	2/4	1/2	0							56
56	51	3	2/4	1/2	0							57
57	52	3	2/4	1/2	0							58
58	53	3	2/4	1/2	0							59
59	54	3	2/4	1/2	0							60
60	55	3	2/4	1/2	0							61
61	56	3	2/4	1/4	0		end					45, 62
62	56	3	2/4	1/4	1/4		start				1	63
63	57	3	2/4	1/2	0							64
64	58	3	2/4	1/2	0							65
65	59	3	2/4	1/2	0							66
66	60	3	2/4	1/2	0							67
67	61	3	2/4	1/2	0							68
68	62	3	2/4	1/2	0							69
69	63	3	2/4	1/2	0							70
70	64	3	2/4	1/4	0		end					62, 71
71	64	0	2/4	1/4	1/4		start				1	72
72	65	0	2/4	1/2	0							73
73	66	0	2/4	1/2	0							74
74	67	0	2/4	1/2	0							75
75	68	0	2/4	1/2	0							76
76	69	0	2/4	1/2	0							77
77	70	0	2/4	1/2	0							78
78	71	0	2/4	1/2	0							79
79	72	0	2/4	1/4	0		end					71, 80
80	72	0	2/4	1/4	1/4		start		start-repeat		1	81
81	73	0	2/4	1/2	0							82
82	74	0	2/4	1/2	0							83
83	75	0	2/4	1/2	0							84
84	76	0	2/4	1/2	0							85
85	77	0	2/4	1/2	0							86
86	78	0	2/4	1/2	0							87
87	79	0	2/4	1/2	0							88
88	80	0	2/4	1/2	0							89
89	81	0	2/4	1/2	0							90
90	82	0	2/4	1/2	0							91
91	83	0	2/4	1/2	0							92
92	84	0	2/4	1/2	0							93
93	85	0	2/4	1/2	0							94
94	86	0	2/4	1/2	0							95
95	87	0	2/4	1/2	0							96
96	88	0	2/4	1/4	0		end					80, 97
97	88	3	2/4	1/4	1/4		start				1	98
98	89	3	2/4	1/2	0							99
99	90	3	2/4	1/2	0							100
100	91	3	2/4	1/2	0							101
101	92	3	2/4	1/2	0							102
102	93	3	2/4	1/2	0							103
103	94	3	2/4	1/2	0							104
104	95	3	2/4	1/2	0							105, 106
105	96	3	2/4	1/4	0		end	1				97
106	96	3	2/4	1/2	0			2	double		1	107
107	97	3	2/4	1/2	0							108
108	98	3	2/4	1/2	0							109
109	99	3	2/4	1/2	0							110
110	100	3	2/4	1/2	0							111
111	101	3	2/4	1/2	0							112
112	102	3	2/4	1/2	0							113
113	103	3	2/4	1/2	0							114
114	104	3	2/4	1/2	0							115
115	105	3	2/4	1/2	0							116
116	106	3	2/4	1/2	0							117
117	107	3	2/4	1/2	0							118
118	108	3	2/4	1/2	0							119
119	109	3	2/4	1/2	0							120
120	110	3	2/4	1/2	0							121
121	111	3	2/4	1/2	0							122
122	112	3	2/4	1/2	0							123
123	113	3	2/4	1/2	0							124
124	114	3	2/4	1/2	0							125
125	115	3	2/4	1/2	0							126
126	116	3	2/4	1/2	0							127
127	117	3	2/4	1/2	0							128
128	118	3	2/4	1/2	0							129
129	119	3	2/4	1/2	0							130
130	120	3	2/4	1/2	0							131
131	121	3	2/4	1/2	0							132
132	122	3	2/4	1/2	0							133
133	123	3	2/4	1/2	0							134
134	124	3	2/4	1/2	0							135
135	125	3	2/4	1/2	0							136
136	126	3	2/4	1/2	0							137
137	127	3	2/4	1/2	0		lastMeasure		end			-1
