mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
0	0	-1	3/4	1/16	11/16	2	firstMeasure				1	1
1	1	-1	3/4	3/4	0	2.0						2
2	2	-1	3/4	3/4	0	2.0						3
3	3	-1	3/4	3/4	0	2.0						4
4	4	-1	3/4	3/4	0	2.0						5
5	5	-1	3/4	3/4	0	2.0						6
6	6	-1	3/4	3/4	0	3.0						7
7	7	-1	3/4	3/4	0	3.0						8
8	8	-1	3/4	3/4	0	3.0						9
9	9	-1	3/4	3/4	0	3.0						10
10	10	-1	3/4	3/4	0	3.0						11
11	11	-1	3/4	3/4	0	3.0						12
12	12	-1	3/4	3/4	0	3.0						13
13	13	-1	3/4	3/4	0	3.0						14
14	14	-1	3/4	3/4	0	2.0						15
15	15	-1	3/4	3/4	0	2.0						16
16	16	-1	3/4	3/4	0	3.0						17
17	17	-1	3/4	3/4	0	2.0						18
18	18	-1	3/4	3/4	0	3.0						19
19	19	-1	3/4	3/4	0	3.0						20
20	20	-1	3/4	3/4	0	4.0						21
21	21	-1	3/4	3/4	0	4.0						22
22	22	-1	3/4	3/4	0	3.0						23
23	23	-1	3/4	3/4	0	3.0						24
24	24	-1	3/4	3/4	0	2.0						25
25	25	-1	3/4	3/4	0	3.0						26
26	26	-1	3/4	3/4	0	3.0						27
27	27	-1	3/4	3/4	0	3.0						28
28	28	-1	3/4	11/16	0	3	endRepeat					29, 0
29	28	-1	3/4	1/16	11/16	2	startRepeat		start-repeat		1	30
30	29	-1	3/4	3/4	0	2.0						31
31	30	-1	3/4	3/4	0	2.0						32
32	31	-1	3/4	3/4	0	2.0						33
33	32	-1	3/4	3/4	0	2.0						34
34	33	-1	3/4	3/4	0	2.0						35
35	34	-1	3/4	3/4	0	2.0						36
36	35	-1	3/4	3/4	0	2.0						37
37	36	-1	3/4	3/4	0	2.0						38
38	37	-1	3/4	3/4	0	2.0						39
39	38	-1	3/4	3/4	0	2.0						40
40	39	-1	3/4	3/4	0	2.0						41
41	40	-1	3/4	3/4	0	2.0						42
42	41	-1	3/4	3/4	0	3.0						43
43	42	-1	3/4	3/4	0	2.0						44
44	43	-1	3/4	3/4	0	2.0						45
45	44	-1	3/4	3/4	0	2.0						46
46	45	-1	3/4	3/4	0	2.0						47
47	46	-1	3/4	3/4	0	2.0						48
48	47	-1	3/4	3/4	0	2.0						49
49	48	-1	3/4	3/4	0	2.0						50
50	49	-1	3/4	3/4	0	2.0						51
51	50	-1	3/4	3/4	0	3.0						52
52	51	-1	3/4	3/4	0	3.0						53
53	52	-1	3/4	3/4	0	3.0						54
54	53	-1	3/4	3/4	0	4.0						55
55	54	-1	3/4	3/4	0	3.0						56
56	55	-1	3/4	3/4	0	3.0						57
57	56	-1	3/4	3/4	0	3.0						58
58	57	-1	3/4	3/4	0	2.0						59
59	58	-1	3/4	3/4	0	2.0						60
60	59	-1	3/4	3/4	0	2.0						61
61	60	-1	3/4	3/4	0	4.0						62
62	61	-1	3/4	3/4	0	2.0						63
63	62	-1	3/4	3/4	0	4.0						64
64	63	-1	3/4	3/4	0	3.0						65
65	64	-1	3/4	3/4	0	3.0						66
66	65	-1	3/4	3/4	0	3.0						67
67	66	-1	3/4	3/4	0	3.0						68
68	67	-1	3/4	3/4	0	3.0						69
69	68	-1	3/4	3/4	0	3.0						70
70	69	-1	3/4	3/4	0	3.0						71
71	70	-1	3/4	3/4	0	3.0						72
72	71	-1	3/4	3/4	0	4.0						73
73	72	-1	3/4	3/4	0	4.0						74
74	73	-1	3/4	3/4	0	3.0						75
75	74	-1	3/4	11/16	0	3	endRepeat		end-repeat			29
