mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	4.0	-3	4/4	1	0						firstMeasure	2
2	2	4	4	4.0	-3	4/4	1	0							3
3	3	8	8	4.0	-3	4/4	1	0							4
4	4	12	12	4.0	-3	4/4	1	0						end	1, 5
5	5	16	16	4.0	-3	4/4	1	0						start	6
6	6	20	20	4.0	-3	4/4	1	0							7
7	7	24	24	4.0	-3	4/4	1	0							8
8	8	28	28	4.0	-3	4/4	1	0							9
9	9	32	32	4.0	-3	4/4	1	0							10
10	10	36	36	4.0	-3	4/4	1	0							11
11	11	40	40	4.0	-3	4/4	1	0							12
12	12	44	44	4.0	-3	4/4	1	0						end	5, 13
13	13	48	48	4.0	-3	4/4	1	0						start	14
14	14	52	52	4.0	-3	4/4	1	0							15
15	15	56	56	4.0	-3	4/4	1	0							16
16	16	60	60	4.0	-3	4/4	1	0						end	13, 17
17	17	64	64	4.0	-3	4/4	1	0						start	18
18	18	68	68	4.0	-3	4/4	1	0							19
19	19	72	72	4.0	-3	4/4	1	0							20
20	20	76	76	4.0	-3	4/4	1	0							21
21	21	80	80	4.0	-3	4/4	1	0							22
22	22	84	84	4.0	-3	4/4	1	0							23
23	23	88	88	4.0	-3	4/4	1	0							24, 25
24	24		92	4.0	-3	4/4	1	0	1					end	17
25	24	92	96	4.0	-3	4/4	1	0	2		1				26
26	25	96	100	4.0	-3	4/4	1	0							27
27	26	100	104	4.0	-3	4/4	1	0							28
28	27	104	108	4.0	-3	4/4	1	0							29
29	28	108	112	4.0	-3	4/4	1	0							30
30	29	112	116	4.0	-3	4/4	1	0							31
31	30	116	120	4.0	-3	4/4	1	0							32
32	31	120	124	4.0	-3	4/4	1	0							33
33	32	124	128	4.0	-3	4/4	1	0				start-repeat		start	34
34	33	128	132	4.0	-3	4/4	1	0							35
35	34	132	136	4.0	-3	4/4	1	0							36
36	35	136	140	4.0	-3	4/4	1	0						end	33, 37
37	36	140	144	4.0	-3	4/4	1	0				start-repeat		start	38
38	37	144	148	4.0	-3	4/4	1	0							39
39	38	148	152	4.0	-3	4/4	1	0							40
40	39	152	156	4.0	-3	4/4	1	0						end	37, 41
41	40	156	160	4.0	-3	4/4	1	0							42
42	41	160	164	4.0	-3	4/4	1	0							43
43	42	164	168	4.0	-3	4/4	1	0							44
44	43	168	172	4.0	-3	4/4	1	0							45
45	44	172	176	4.0	-3	4/4	1	0							46
46	45	176	180	4.0	-3	4/4	1	0							47
47	46	180	184	4.0	-3	4/4	1	0							48
48	47	184	188	4.0	-3	4/4	1	0							49
49	48	188	192	4.0	-3	4/4	1	0							50
50	49	192	196	4.0	-3	4/4	1	0							51
51	50	196	200	4.0	-3	4/4	1	0							52
52	51	200	204	4.0	-3	4/4	1	0							53
53	52	204	208	4.0	-3	4/4	1	0							54
54	53	208	212	4.0	-3	4/4	1	0							55
55	54	212	216	4.0	-3	4/4	1	0							56
56	55	216	220	4.0	-3	4/4	1	0				end		lastMeasure	-1
