mc	mn	timesig	mc_onset	staff	voice	cadence
5	4	2/2	1/4	1	1	HC
9	8	2/2	0	1	1	PAC
11	10	2/2	0	1	1	HC
13	12	2/2	0	1	1	PAC
15	14	2/2	0	1	1	PAC
17	16	2/2	0	1	1	PAC
28	27	2/2	1/4	1	1	HC
40	39	2/2	0	1	1	PAC
48	47	2/2	1/4	1	1	HC
52	51	2/2	0	1	1	PAC
60	59	2/2	1/2	1	1	HC
64	63	2/2	1/2	1	1	HC
68	67	2/2	1/2	1	1	PAC
70	69	2/2	1/2	1	1	HC
76	75	2/2	1/4	1	1	HC
80	79	2/2	0	1	1	PAC
82	81	2/2	0	1	1	HC
84	83	2/2	0	1	1	PAC
86	85	2/2	0	1	1	PAC
88	87	2/2	0	1	1	PAC
102	101	2/2	0	1	1	PAC
110	109	2/2	1/4	1	1	HC
119	118	2/2	0	1	1	HC
124	123	2/2	0	1	1	HC
137	136	2/2	0	1	1	PAC
147	146	2/2	1/4	1	1	HC
151	150	2/2	0	1	1	PAC
153	152	2/2	0	1	1	HC
155	154	2/2	0	1	1	PAC
157	156	2/2	0	1	1	PAC
159	158	2/2	0	1	1	PAC
