mc	mn	timesig	mc_onset	staff	voice	cadence
8	8	2/4	1/4	1	1	PAC
16	16	2/4	0	1	1	PAC
23	23	2/4	0	1	1	HC
34	34	2/4	0	1	1	HC
50	50	2/4	0	1	1	PAC
54	54	2/4	1/8	1	1	HC
58	58	2/4	0	1	1	PAC
72	72	2/4	1/4	1	1	PAC
80	80	2/4	0	1	1	PAC
92	92	2/4	0	1	1	HC
114	114	2/4	0	1	1	HC
125	125	2/4	0	1	1	HC
141	141	2/4	0	1	1	PAC
145	145	2/4	1/8	1	1	HC
149	149	2/4	0	1	1	PAC
155	155	2/4	0	1	1	HC
170	170	2/4	1/4	1	1	PAC
178	178	2/4	0	1	1	EC
181	181	2/4	0	1	1	EC
184	184	2/4	0	1	1	PAC
