mc	mn	timesig	mc_onset	staff	voice	cadence
5	4	3/4	0	1	1	EC
7	6	3/4	1/4	1	1	PAC
11	10	3/4	0	1	1	HC
18	17	3/4	0	1	1	EC
22	21	3/4	0	1	1	EC
27	26	3/4	0	1	1	PAC
28	27	3/4	0	1	1	PAC
29	28	3/4	1/2	1	1	PAC
34	32	3/4	1/4	1	1	HC
37	35	3/4	0	1	1	EC
39	37	3/4	0	1	1	EC
43	41	3/4	1/2	1	1	HC
48	46	3/4	0	1	1	EC
52	50	3/4	0	1	1	HC
59	57	3/4	0	1	1	EC
63	61	3/4	0	1	1	EC
70	68	3/4	0	1	1	PAC
74	72	3/4	0	1	1	PAC
75	73	3/4	0	1	1	PAC
76	74	3/4	1/2	1	1	PAC
