mc	mn	timesig	mc_onset	staff	voice	cadence
5	4	3/4	1/4	1	1	HC
9	8	3/4	0	1	1	PAC
14	12	3/4	1/4	1	1	HC
22	20	3/4	0	1	1	PAC
31	28	3/4	0	1	1	PAC
36	32	3/4	1/4	1	1	HC
40	36	3/4	0	1	1	PAC
50	44	3/4	1/4	1	1	HC
54	48	3/4	0	1	1	PAC
58	52	3/4	1/4	1	1	HC
66	60	3/4	0	1	1	PAC
