mc	mn	timesig	mc_onset	staff	voice	cadence
4	4	2/4	3/8	1	1	HC
8	8	2/4	1/4	1	1	PAC
10	10	2/4	0	1	1	EC
12	12	2/4	0	1	1	PAC
16	16	2/4	0	1	1	HC
24	24	2/4	0	1	1	HC
32	32	2/4	3/8	1	1	IAC
38	38	2/4	0	1	1	PAC
42	42	2/4	3/8	1	1	HC
46	46	2/4	1/4	1	1	PAC
48	48	2/4	0	1	1	EC
50	50	2/4	0	1	1	PAC
52	52	2/4	0	1	1	HC
60	60	2/4	0	1	1	HC
68	68	2/4	3/8	1	1	IAC
74	74	2/4	0	1	1	PAC
78	78	2/4	3/8	1	1	HC
82	82	2/4	1/4	1	1	PAC
84	84	2/4	0	1	1	EC
86	86	2/4	0	1	1	PAC
88	88	2/4	0	1	1	EC
90	90	2/4	0	1	1	PAC
