mc	mn	timesig	onset	staff	voice	cadence
5	4	4/4	3/4	1	1	HC
9	8	4/4	1/2	1	1	PAC
11	10	4/4	3/4	1	1	HC
19	18	4/4	3/4	1	1	HC
23	22	4/4	1/2	1	1	PAC
31	30	4/4	3/4	1	1	PAC
35	34	4/4	3/4	1	1	HC
43	42	4/4	3/4	1	1	PAC
49	48	4/4	1/2	1	1	PAC
53	52	4/4	0	1	1	HC
57	56	4/4	1/2	1	1	PAC
67	66	4/4	3/4	1	1	HC
71	70	4/4	1/2	1	1	PAC
79	78	4/4	3/4	1	1	DC
86	85	4/4	0	1	1	PAC
