mc	mn	timesig	onset	staff	voice	cadence
9	8	3/4	1/4	1	1	HC
17	16	3/4	0	1	1	PAC
31	30	3/4	0	1	1	PAC
45	44	3/4	0	1	1	PAC
59	58	3/4	0	1	1	HC
61	60	3/4	0	1	1	HC
63	62	3/4	0	1	1	HC
75	74	3/4	0	1	1	PAC
83	82	3/4	0	1	1	PAC
91	90	3/4	0	1	1	PAC
112	111	3/4	1/4	1	1	HC
120	119	3/4	0	1	1	PAC
134	133	3/4	0	1	1	PAC
180	179	3/4	0	1	1	HC
182	181	3/4	0	1	1	HC
184	183	3/4	0	1	1	HC
198	197	3/4	0	1	1	PAC
206	205	3/4	0	1	1	PAC
229	228	3/4	1/4	1	1	HC
249	248	3/4	0	1	1	PAC
263	262	3/4	0	1	1	PAC
288	287	3/4	0	1	1	PAC
302	301	3/4	0	1	1	DC
310	309	3/4	0	1	1	PAC
