mc	mn	timesig	mc_onset	staff	voice	cadence
12	12	3/4	0	1	1	PAC
16	16	3/4	1/4	1	1	IAC
20	20	3/4	0	1	1	PAC
37	37	3/4	0	1	1	HC
44	44	3/4	1/2	1	1	IAC
48	48	3/4	0	1	1	HC
52	52	3/4	1/2	1	1	IAC
56	56	3/4	0	1	1	PAC
67	67	3/4	0	1	1	HC
76	76	3/4	0	1	1	IAC
82	82	3/4	0	1	1	EC
84	84	3/4	0	1	1	EC
86	86	3/4	0	1	1	PAC
93	93	3/4	0	1	1	PAC
95	95	3/4	1/2	1	1	HC
97	97	3/4	1/2	1	1	HC
101	101	3/4	0	1	1	PAC
103	103	3/4	1/2	1	1	HC
105	105	3/4	1/2	1	1	HC
109	109	3/4	0	1	1	PAC
123	123	3/4	0	1	1	HC
144	144	3/4	0	1	1	PAC
148	148	3/4	1/4	1	1	IAC
152	152	3/4	0	1	1	PAC
173	173	3/4	0	1	1	HC
180	180	3/4	1/2	1	1	IAC
184	184	3/4	0	1	1	HC
188	188	3/4	1/2	1	1	IAC
192	192	3/4	0	1	1	PAC
203	203	3/4	0	1	1	HC
212	212	3/4	0	1	1	IAC
218	218	3/4	0	1	1	EC
220	220	3/4	0	1	1	EC
222	222	3/4	0	1	1	PAC
229	229	3/4	0	1	1	PAC
