mc	mn	timesig	mc_onset	staff	voice	cadence
2	2	4/4	1/4	1	1	HC
4	4	4/4	0	1	1	IAC
8	8	4/4	0	1	1	HC
13	13	4/4	0	1	1	DC
15	15	4/4	0	1	1	PAC
20	20	4/4	0	1	1	HC
26	26	4/4	0	1	1	HC
31	31	4/4	0	1	1	DC
33	33	4/4	0	1	1	PAC
35	35	4/4	1/8	1	1	HC
36	36	4/4	3/4	1	1	PAC
