mc	mn	timesig	onset	staff	voice	cadence
4	4	4/4	0	1	1	IAC
7	7	4/4	0	1	1	PAC
13	13	4/4	0	1	1	HC
20	20	4/4	1/2	1	1	HC
24	24	4/4	0	1	1	PAC
32	32	4/4	0	1	1	PAC
36	36	4/4	0	1	1	PAC
39	39	4/4	1/2	1	1	PAC
55	55	4/4	1/2	1	1	PAC
62	62	4/4	0	1	1	PAC
66	66	4/4	0	1	1	PAC
75	75	4/4	0	1	1	HC
82	82	4/4	1/2	1	1	HC
86	86	4/4	1/2	1	1	HC
95	95	4/4	0	1	1	PAC
99	99	4/4	0	1	1	PAC
102	102	4/4	0	1	1	IAC
105	105	4/4	0	1	1	EC
107	107	4/4	0	1	1	EC
109	109	4/4	0	1	1	PAC
112	112	4/4	1/2	1	1	PAC
