mc	mn	timesig	onset	staff	voice	cadence
5	4	2/2	1/4	1	1	HC
9	8	2/2	1/4	1	1	PAC
14	12	2/2	1/2	1	1	HC
19	17	2/2	1/4	1	1	PAC
24	21	2/2	1/4	1	1	HC
28	25	2/2	1/4	1	1	PAC
33	29	2/2	1/4	1	1	HC
37	33	2/2	0	1	1	IAC
38	34	2/2	1/4	1	1	PAC
43	38	2/2	1/4	1	1	HC
47	42	2/2	0	1	1	PAC
52	46	2/2	1/4	1	1	HC
57	51	2/2	0	1	1	PAC
62	55	2/2	1/4	1	1	HC
66	59	2/2	0	1	1	PAC
71	63	2/2	1/2	1	1	HC
76	68	2/2	0	1	1	PAC
81	72	2/2	1/4	1	1	HC
85	76	2/2	0	1	1	PAC
90	80	2/2	0	1	1	HC
95	85	2/2	0	1	1	PAC
100	89	2/2	1/4	1	1	HC
104	93	2/2	0	1	1	PAC
109	97	2/2	1/4	1	1	HC
114	102	2/2	0	1	1	PAC
119	106	2/2	1/4	1	1	HC
128	114	2/2	1/4	1	1	HC
138	123	2/2	1/4	1	1	HC
142	127	2/2	0	1	1	PAC
152	136	2/2	0	1	1	PAC
157	140	2/2	1/4	1	1	HC
161	144	2/2	0	1	1	PAC
167	149	2/2	0	1	1	HC
171	153	2/2	0	1	1	PAC
195	174	2/2	1/4	1	1	HC
199	178	2/2	0	1	1	PAC
204	182	2/2	0	1	1	HC
209	187	2/2	0	1	1	PAC
214	191	2/2	1/4	1	1	HC
218	195	2/2	1/4	1	1	PAC
223	199	2/2	1/4	1	1	HC
227	203	2/2	1/4	1	1	PAC
236	211	2/2	0	1	1	IAC
237	212	2/2	1/4	1	1	PAC
246	220	2/2	0	1	1	IAC
247	221	2/2	1/4	1	1	PAC
252	225	3/4	1/4	1	1	HC
260	233	3/4	1/4	1	1	HC
264	237	3/4	0	1	1	PAC
277	250	3/4	0	1	1	HC
282	255	3/4	0	1	1	DC
284	257	3/4	0	1	1	DC
286	259	3/4	0	1	1	PAC
