mc	mn	timesig	onset	staff	voice	cadence
5	4	4/4	1/4	1	1	IAC
11	10	4/4	0	1	1	PAC
19	18	4/4	0	1	1	HC
21	20	4/4	0	1	1	HC
23	22	4/4	0	1	1	HC
31	30	4/4	0	1	1	HC
39	38	4/4	0	1	1	PAC
47	46	4/4	0	1	1	PAC
51	50	4/4	0	1	1	PAC
55	54	4/4	0	1	1	PAC
60	59	4/4	0	1	1	PAC
64	63	4/4	1/2	1	1	PAC
73	71	4/4	0	1	1	PAC
83	81	4/4	0	1	1	HC
85	83	4/4	0	1	1	HC
87	85	4/4	0	1	1	HC
99	97	4/4	1/4	1	1	IAC
105	103	4/4	0	1	1	PAC
116	114	4/4	0	1	1	HC
118	116	4/4	0	1	1	HC
120	118	4/4	0	1	1	HC
128	126	4/4	0	1	1	HC
136	134	4/4	0	1	1	PAC
144	142	4/4	0	1	1	PAC
154	152	4/4	0	1	1	PAC
158	156	4/4	0	1	1	PAC
163	161	4/4	0	1	1	PAC
167	165	4/4	1/2	1	1	PAC
