mc	mn	timesig	onset	staff	voice	cadence
10	10	3/4	0	1	1	EC
13	13	3/4	0	1	1	PAC
26	26	3/4	1/4	1	1	HC
43	43	3/4	0	1	1	PAC
48	48	3/4	0	1	1	PAC
54	54	3/4	0	1	1	PAC
78	78	3/4	0	1	1	HC
92	92	3/4	0	1	1	EC
95	95	3/4	0	1	1	PAC
108	108	3/4	1/4	1	1	HC
131	131	3/4	0	1	1	PAC
136	136	3/4	0	1	1	PAC
142	142	3/4	0	1	1	PAC
