mc	mn	timesig	onset	staff	voice	cadence
4	4	2/4	1/4	1	1	HC
8	8	2/4	0	1	1	HC
12	12	2/4	1/4	1	1	HC
16	16	2/4	0	1	1	DC
20	20	2/4	0	1	1	PAC
28	28	2/4	1/4	1	1	HC
32	32	2/4	3/8	1	1	HC
44	44	2/4	1/4	1	1	IAC
52	52	2/4	0	1	1	EC
56	56	2/4	0	1	1	EC
63	63	2/4	0	1	1	HC
79	79	2/4	0	1	1	PAC
87	87	2/4	0	1	1	EC
99	99	2/4	0	1	1	HC
110	110	2/4	1/4	1	1	HC
114	114	2/4	0	1	1	HC
118	118	2/4	1/4	1	1	HC
122	122	2/4	0	1	1	DC
134	134	2/4	0	1	1	PAC
142	142	2/4	0	1	1	PAC
158	158	2/4	0	1	1	PAC
174	174	2/4	0	1	1	PAC
179	178	2/4	1/4	1	1	HC
183	182	2/4	0	1	1	HC
187	186	2/4	1/4	1	1	HC
191	190	2/4	0	1	1	DC
195	194	2/4	0	1	1	PAC
219	218	2/4	0	1	1	PAC
227	226	2/4	0	1	1	EC
234	233	2/4	0	1	1	EC
240	239	2/4	0	1	1	EC
246	245	2/4	0	1	1	PAC
252	251	2/4	0	1	1	PAC
