mc	mn	timesig	onset	staff	voice	cadence
4	4	2/2	1/2	1	1	HC
8	8	2/2	0	1	1	PAC
12	12	2/2	1/2	1	1	HC
16	16	2/2	0	1	1	PAC
18	18	2/2	0	1	1	HC
20	20	2/2	0	1	1	IAC
24	24	2/2	1/4	1	1	HC
32	32	2/2	0	1	1	IAC
36	36	2/2	0	1	1	PAC
44	44	2/2	1/2	1	1	HC
48	48	2/2	0	1	1	PAC
52	52	2/2	1/2	1	1	HC
56	56	2/2	0	1	1	PAC
58	58	2/2	0	1	1	HC
60	60	2/2	0	1	1	IAC
64	64	2/2	0	1	1	HC
72	72	2/2	0	1	1	HC
76	76	2/2	0	1	1	PAC
89	89	2/2	0	1	1	EC
90	90	2/2	3/4	1	1	HC
103	103	2/2	0	1	1	HC
115	115	2/2	1/2	1	1	HC
119	119	2/2	0	1	1	PAC
123	123	2/2	1/2	1	1	HC
127	127	2/2	0	1	1	PAC
129	129	2/2	0	1	1	HC
131	131	2/2	0	1	1	IAC
144	144	2/2	0	1	1	HC
156	156	2/2	0	1	1	IAC
164	164	2/2	0	1	1	PAC
179	179	2/2	0	1	1	HC
205	202	2/2	1/2	1	1	HC
209	206	2/2	0	1	1	EC
212	209	2/2	0	1	1	EC
216	213	2/2	0	1	1	PAC
225	222	2/2	0	1	1	PAC
226	223	2/2	0	1	1	PAC
