mc	mn	timesig	mc_onset	staff	voice	cadence
5	4	2/4	0	1	1	HC
9	8	2/4	0	1	1	PAC
13	12	2/4	0	1	1	HC
17	16	2/4	0	1	1	PAC
25	24	2/4	0	1	1	HC
29	28	2/4	0	1	1	PAC
37	36	2/4	0	1	1	HC
49	48	2/4	0	1	1	PAC
57	56	2/4	0	1	1	HC
61	60	2/4	0	1	1	PAC
65	64	2/4	1/8	1	1	PAC
69	68	2/4	0	1	1	PAC
71	70	2/4	0	1	1	PAC
73	72	2/4	0	1	1	PAC
