mc	mn	timesig	mc_onset	staff	voice	cadence
23	22	2/2	0	1	1	DC
42	41	2/2	0	1	1	HC
46	45	2/2	1/4	1	1	HC
50	49	2/2	0	1	1	PAC
54	53	2/2	1/4	1	1	HC
58	57	2/2	0	1	1	PAC
79	78	2/2	0	1	1	IAC
83	82	2/2	0	1	1	DC
90	89	2/2	0	1	1	PAC
93	92	2/2	0	1	1	PAC
96	95	2/2	0	1	1	PAC
98	97	2/2	0	1	1	PAC
100	99	2/2	0	1	1	PAC
118	116	2/2	0	1	1	HC
170	168	2/2	0	1	1	HC
174	172	2/2	1/4	1	1	HC
178	176	2/2	0	1	1	PAC
182	180	2/2	1/4	1	1	HC
186	184	2/2	0	1	1	PAC
213	211	2/2	0	1	1	IAC
221	219	2/2	0	1	1	DC
228	226	2/2	0	1	1	PAC
231	229	2/2	0	1	1	PAC
234	232	2/2	0	1	1	PAC
236	234	2/2	0	1	1	PAC
238	236	2/2	0	1	1	PAC
