mc	mn	timesig	onset	staff	voice	cadence
10	10	3/4	1/4	1	1	HC
22	22	3/4	1/4	1	1	HC
33	33	3/4	0	1	1	PAC
42	42	3/4	0	1	1	EC
44	44	3/4	0	1	1	EC
46	46	3/4	1/4	1	1	PAC
82	82	3/4	1/4	1	1	HC
90	90	3/4	1/4	1	1	HC
101	101	3/4	0	1	1	PAC
110	110	3/4	0	1	1	EC
112	112	3/4	0	1	1	EC
114	114	3/4	0	1	1	PAC
117	117	3/4	0	1	1	DC
120	120	3/4	0	1	1	PAC
