mc	mn	timesig	mc_onset	staff	voice	cadence
9	8	2/4	1/4	1	1	HC
17	16	2/4	0	1	1	EC
20	19	2/4	0	1	1	PAC
28	27	2/4	1/8	1	1	HC
40	39	2/4	0	1	1	HC
66	65	2/4	0	1	1	DC
78	77	2/4	0	1	1	PAC
82	81	2/4	0	1	1	PAC
86	85	2/4	0	1	1	PAC
101	100	2/4	1/4	1	1	HC
109	108	2/4	0	1	1	EC
112	111	2/4	0	1	1	PAC
124	123	2/4	0	1	1	PAC
127	126	2/4	0	1	1	PAC
129	128	2/4	0	1	1	PAC
132	131	2/4	0	1	1	PAC
138	137	2/4	0	1	1	HC
170	169	2/4	0	1	1	DC
186	185	2/4	0	1	1	HC
197	196	2/4	1/4	1	1	HC
205	204	2/4	0	1	1	EC
207	206	2/4	0	1	1	IAC
208	207	2/4	0	1	1	PAC
218	217	2/4	0	1	1	PAC
222	221	2/4	0	1	1	EC
235	234	2/4	0	1	1	PAC
241	240	2/4	0	1	1	PAC
