mc	mn	timesig	onset	staff	voice	cadence
4	4	6/8	5/8	1	1	HC
8	8	6/8	3/8	1	1	PAC
12	12	6/8	5/8	1	1	HC
16	16	6/8	5/8	1	1	IAC
18	18	6/8	3/8	1	1	PAC
22	22	6/8	3/8	1	1	HC
26	26	6/8	3/8	1	1	PAC
30	30	6/8	5/8	1	1	HC
34	34	6/8	5/8	1	1	IAC
36	36	6/8	3/8	1	1	PAC
40	40	6/8	5/8	1	1	HC
44	44	6/8	3/8	1	1	PAC
48	48	6/8	5/8	1	1	HC
52	52	6/8	5/8	1	1	IAC
54	54	6/8	3/8	1	1	PAC
58	58	6/8	5/8	1	1	HC
62	62	6/8	3/8	1	1	PAC
66	66	6/8	5/8	1	1	HC
70	70	6/8	3/8	1	1	PAC
72	72	6/8	3/8	1	1	PAC
76	76	6/8	3/8	1	1	HC
80	80	6/8	3/8	1	1	PAC
84	84	6/8	5/8	1	1	HC
88	88	6/8	1/4	1	1	HC
90	90	6/8	3/8	1	1	PAC
94	94	6/8	3/8	1	1	HC
98	98	6/8	1/2	1	1	PAC
99	98	6/8	1/2	1	1	PAC
103	102	6/8	1/2	1	1	HC
107	106	6/8	5/8	1	1	IAC
109	108	6/8	5/8	1	1	PAC
110	108	6/8	5/8	1	1	PAC
114	112	4/4	3/4	1	1	HC
118	116	4/4	1/2	1	1	PAC
122	120	4/4	1/2	1	1	HC
126	124	4/4	3/4	1	1	IAC
128	126	4/4	1/2	1	1	PAC
129	126	4/4	1/2	1	1	PAC
135	132	4/4	1/2	1	1	PAC
136	133	4/4	1/2	1	1	PAC
137	134	4/4	1/2	1	1	PAC
