mc	mn	timesig	onset	staff	voice	cadence
5	4	2/4	0	1	1	HC
11	10	2/4	0	1	1	PAC
19	18	2/4	0	1	1	HC
21	20	2/4	0	1	1	HC
23	22	2/4	0	1	1	HC
31	30	2/4	0	1	1	HC
35	34	2/4	0	1	1	DC
39	38	2/4	0	1	1	PAC
47	46	2/4	0	1	1	PAC
51	50	2/4	0	1	1	PAC
55	54	2/4	0	1	1	PAC
72	70	2/4	0	1	1	HC
74	72	2/4	0	1	1	HC
92	90	2/4	0	1	1	HC
98	96	2/4	0	1	1	PAC
106	104	2/4	0	1	1	HC
108	106	2/4	0	1	1	HC
110	108	2/4	0	1	1	HC
118	116	2/4	0	1	1	HC
122	120	2/4	0	1	1	DC
126	124	2/4	0	1	1	PAC
134	132	2/4	0	1	1	EC
149	147	2/4	0	1	1	PAC
153	151	2/4	0	1	1	PAC
157	155	2/4	0	1	1	PAC
