mc	mn	timesig	onset	staff	voice	cadence
4	4	3/4	1/4	1	1	IAC
5	5	3/4	1/4	1	1	HC
8	8	3/4	1/4	1	1	HC
16	16	3/4	1/4	1	1	PAC
24	24	3/4	1/4	1	1	HC
32	32	3/4	1/4	1	1	PAC
40	40	3/4	0	1	1	PAC
44	44	3/4	1/4	1	1	HC
49	49	3/4	1/4	1	1	HC
52	52	3/4	1/4	1	1	PAC
60	60	3/4	0	1	1	PAC
64	64	3/4	1/4	1	1	HC
68	68	3/4	1/4	1	1	IAC
72	72	3/4	1/4	1	1	IAC
73	73	3/4	1/4	1	1	HC
76	76	3/4	0	1	1	PAC
