mc	mn	timesig	mc_onset	staff	voice	cadence
8	8	2/4	1/8	1	1	IAC
12	12	2/4	0	1	1	PAC
14	14	2/4	0	1	1	PAC
16	16	2/4	0	1	1	PAC
18	18	2/4	1/4	1	1	HC
31	31	2/4	3/8	1	1	DC
34	34	2/4	0	1	1	PAC
38	38	2/4	1/8	1	1	HC
42	42	2/4	0	1	1	PAC
48	48	2/4	0	1	1	PAC
54	54	2/4	0	1	1	PAC
56	56	2/4	0	1	1	PAC
58	58	2/4	0	1	1	PAC
66	66	2/4	0	1	1	IAC
79	79	2/4	0	1	1	HC
83	83	2/4	0	1	1	HC
95	95	2/4	1/8	1	1	IAC
99	99	2/4	0	1	1	PAC
101	101	2/4	0	1	1	PAC
103	103	2/4	0	1	1	PAC
105	105	2/4	1/4	1	1	HC
118	118	2/4	3/8	1	1	DC
121	121	2/4	0	1	1	PAC
125	125	2/4	1/8	1	1	HC
129	129	2/4	0	1	1	PAC
135	135	2/4	0	1	1	PAC
141	141	2/4	0	1	1	PAC
143	143	2/4	0	1	1	PAC
145	145	2/4	0	1	1	PAC
