mc	mn	timesig	onset	staff	voice	cadence
6	6	2/2	1/2	1	1	HC
12	12	2/2	1/2	1	1	PAC
18	18	2/2	1/2	1	1	HC
26	26	2/2	1/2	1	1	IAC
30	30	2/2	0	1	1	PAC
44	44	2/2	1/2	1	1	HC
50	50	2/2	1/2	1	1	PAC
58	58	2/2	0	1	1	HC
67	67	2/2	0	1	1	PAC
79	79	2/2	0	1	1	HC
88	88	2/2	1/2	1	1	HC
94	94	2/2	1/2	1	1	PAC
98	98	2/2	1/2	1	1	IAC
102	102	2/2	1/2	1	1	PAC
108	108	2/2	1/2	1	1	HC
116	116	2/2	0	1	1	PAC
126	125	2/2	1/2	1	1	HC
132	131	2/2	1/2	1	1	PAC
140	139	2/2	1/2	1	1	IAC
144	143	2/2	0	1	1	DC
148	147	2/2	0	1	1	DC
153	152	2/2	0	1	1	HC
171	170	2/2	0	1	1	PAC
181	180	2/2	0	1	1	EC
185	184	2/2	0	1	1	PAC
