mc	mn	timesig	mc_onset	staff	voice	cadence
8	8	3/4	1/4	1	1	HC
16	16	3/4	1/4	1	1	PAC
24	24	3/4	1/4	1	1	PAC
32	32	3/4	1/4	1	1	PAC
40	40	3/4	1/4	1	1	PAC
44	44	3/4	1/4	1	1	HC
48	48	3/4	1/4	1	1	PAC
56	56	3/4	1/4	1	1	HC
64	64	3/4	0	1	1	PAC
68	68	3/4	0	1	1	PAC
72	72	3/4	0	1	1	PAC
