mc	mn	timesig	mc_onset	staff	voice	cadence
6	6	6/8	3/8	1	1	HC
14	14	6/8	3/8	1	1	PAC
26	26	6/8	3/8	1	1	DC
32	32	6/8	0	1	1	PAC
49	49	6/8	0	1	1	HC
57	57	6/8	3/8	1	1	HC
65	65	6/8	0	1	1	PAC
74	74	6/8	0	1	1	PAC
83	83	6/8	0	1	1	EC
85	85	6/8	0	1	1	PAC
119	119	6/8	0	1	1	HC
127	127	6/8	0	1	1	PAC
139	139	6/8	0	1	1	HC
153	153	6/8	3/8	1	1	HC
161	161	6/8	3/8	1	1	PAC
184	184	6/8	0	1	1	HC
192	192	6/8	3/8	1	1	HC
200	200	6/8	0	1	1	PAC
210	210	6/8	0	1	1	PAC
220	220	6/8	0	1	1	EC
222	222	6/8	0	1	1	PAC
232	232	6/8	0	1	1	PAC
236	236	6/8	3/8	1	1	DC
242	242	6/8	0	1	1	PAC
