mc	mn	timesig	mc_onset	staff	voice	volta	cadence
4	4	3/4	1/4	1	1		HC
10	10	3/4	1/4	1	1		PAC
18	18	3/4	0	1	1		PAC
30	30	3/4	0	1	1		HC
34	34	3/4	1/4	1	1		HC
41	41	3/4	0	1	1		EC
48	48	3/4	0	1	1		PAC
52	52	3/4	0	1	1		PAC
56	56	3/4	0	1	1		HC
60	60	3/4	0	1	1		PAC
63	63	3/4	0	1	1		PAC
64	64	3/4	0	1	1		PAC
80	80	3/4	0	1	1		HC
82	82	3/4	0	1	1		HC
92	92	3/4	0	1	1		HC
96	96	3/4	0	1	1		IAC
98	98	3/4	0	1	1		IAC
99	99	3/4	0	1	1		PAC
100	100	3/4	0	1	1	1	PAC
101	100	3/4	0	1	1	2	PAC
