mc	mn	timesig	onset	staff	voice	cadence
9	8	2/4	1/8	1	1	HC
16	15	2/4	1/8	1	1	HC
24	23	2/4	0	1	1	PAC
32	31	2/4	0	1	1	DC
36	35	2/4	0	1	1	PAC
40	39	2/4	0	1	1	PAC
61	59	2/4	1/4	1	1	HC
71	69	2/4	1/8	1	1	HC
78	76	2/4	1/8	1	1	HC
86	84	2/4	0	1	1	PAC
90	88	2/4	1/4	1	1	DC
94	92	2/4	0	1	1	DC
98	96	2/4	0	1	1	PAC
100	98	2/4	0	1	1	EC
102	100	2/4	0	1	1	PAC
