mc	mn	timesig	onset	staff	voice	cadence
2	2	4/4	3/4	1	1	HC
4	4	4/4	3/4	1	1	PAC
8	8	4/4	3/4	1	1	HC
10	10	4/4	3/4	1	1	HC
12	12	4/4	3/4	1	1	PAC
14	14	4/4	3/4	1	1	HC
16	16	4/4	1/2	1	1	PAC
20	20	4/4	3/4	1	1	HC
22	22	4/4	3/4	1	1	HC
24	24	4/4	1/2	1	1	PAC
25	24	4/4	1/2	1	1	PAC
30	29	4/4	3/4	1	1	HC
32	31	4/4	3/4	1	1	PAC
36	35	4/4	1/2	1	1	PAC
38	37	4/4	3/4	1	1	HC
40	39	4/4	3/4	1	1	PAC
42	41	4/4	1/2	1	1	HC
46	45	4/4	3/4	1	1	HC
48	47	4/4	3/4	1	1	PAC
52	51	4/4	3/4	1	1	DC
54	53	4/4	1/2	1	1	PAC
