mc	mn	timesig	onset	staff	voice	cadence
8	8	6/8	3/8	1	1	PAC
12	12	6/8	3/8	1	1	HC
19	19	6/8	0	1	1	DC
21	21	6/8	0	1	1	PAC
22	22	6/8	3/8	1	1	PAC
24	24	6/8	3/8	1	1	PAC
32	32	6/8	0	1	1	HC
42	42	6/8	3/8	1	1	PAC
46	46	6/8	3/8	1	1	HC
53	53	6/8	0	1	1	EC
55	55	6/8	0	1	1	DC
57	57	6/8	0	1	1	PAC
58	58	6/8	3/8	1	1	PAC
60	60	6/8	3/8	1	1	PAC
