mc	mn	timesig	onset	staff	voice	cadence
4	4	3/4	1/4	1	1	HC
6	6	3/4	1/2	1	1	DC
8	8	3/4	0	1	1	PAC
13	13	3/4	1/4	1	1	HC
21	21	3/4	0	1	1	PAC
25	25	3/4	1/4	1	1	IAC
29	29	3/4	0	1	1	PAC
31	31	3/4	1/4	1	1	PAC
35	35	3/4	1/4	1	1	PAC
43	43	3/4	0	1	1	PAC
48	48	3/4	1/4	1	1	HC
54	54	3/4	1/4	1	1	HC
58	58	3/4	0	1	1	PAC
63	63	3/4	1/4	1	1	HC
71	71	3/4	0	1	1	PAC
75	75	3/4	1/4	1	1	IAC
79	79	3/4	0	1	1	PAC
81	81	3/4	1/4	1	1	PAC
82	81	3/4	1/4	1	1	PAC
83	82	3/4	1/2	1	1	PAC
