mc	mn	timesig	onset	staff	voice	cadence
9	8	6/8	0	1	1	HC
17	16	6/8	0	1	1	PAC
27	26	6/8	0	1	1	IAC
41	40	6/8	0	1	1	HC
49	48	6/8	3/8	1	1	HC
57	56	6/8	0	1	1	PAC
65	64	6/8	0	1	1	PAC
73	72	6/8	0	1	1	EC
76	75	6/8	0	1	1	PAC
78	77	6/8	0	1	1	PAC
80	79	6/8	0	1	1	PAC
95	94	6/8	0	1	1	HC
103	102	6/8	0	1	1	PAC
113	112	6/8	0	1	1	IAC
115	114	6/8	0	1	1	IAC
117	116	6/8	0	1	1	IAC
119	118	6/8	0	1	1	HC
127	126	6/8	0	1	1	HC
139	138	6/8	3/8	1	1	HC
146	145	6/8	0	1	1	HC
147	146	6/8	3/8	1	1	HC
155	154	6/8	0	1	1	PAC
184	181	6/8	0	1	1	HC
192	189	6/8	0	1	1	PAC
208	205	6/8	0	1	1	HC
216	213	6/8	3/8	1	1	HC
224	221	6/8	0	1	1	PAC
232	229	6/8	0	1	1	PAC
243	240	6/8	0	1	1	PAC
245	242	6/8	0	1	1	PAC
247	244	6/8	0	1	1	PAC
259	256	6/8	0	1	1	PAC
269	266	6/8	0	1	1	IAC
271	268	6/8	0	1	1	PAC
