mc	mn	timesig	onset	staff	voice	cadence
11	10	3/4	0	1	1	PAC
20	18	3/4	1/4	1	1	HC
30	28	3/4	0	1	1	PAC
34	32	3/4	0	1	1	PAC
43	40	3/4	1/4	1	1	HC
51	48	3/4	0	1	1	PAC
59	55	3/4	0	1	1	HC
68	64	3/4	1/4	1	1	HC
76	72	3/4	0	1	1	PAC
