mc	mn	timesig	onset	staff	voice	volta	cadence
4	4	4/4	3/4	1	1		PAC
8	8	4/4	3/4	1	1		HC
14	14	4/4	0	1	1	1	PAC
15	14	4/4	0	1	1	2	PAC
23	22	4/4	0	1	1		HC
32	31	4/4	3/4	1	1		HC
38	37	4/4	0	1	1	1	PAC
39	37	4/4	0	1	1	2	PAC
41	39	4/4	3/4	1	1		PAC
