mc	mn	timesig	mc_onset	staff	voice	cadence
11	10	3/4	0	1	1	PAC
17	16	3/4	0	1	1	PAC
23	22	3/4	0	1	1	HC
27	26	3/4	1/2	1	1	HC
31	30	3/4	1/2	1	1	HC
39	38	3/4	0	1	1	PAC
44	43	3/4	0	1	1	PAC
49	48	3/4	0	1	1	EC
52	51	3/4	0	1	1	PAC
64	62	3/4	0	1	1	PAC
91	89	3/4	0	1	1	HC
95	93	3/4	1/2	1	1	HC
99	97	3/4	1/2	1	1	HC
107	105	3/4	0	1	1	PAC
112	110	3/4	0	1	1	PAC
117	115	3/4	0	1	1	EC
120	118	3/4	0	1	1	PAC
