mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	3/4	2	1	F.I[I{	F	I	I	I		I						{	M	0	0	0, 4, 1		0	0
2	2	2	2a	3	3	3.0	0	0	3/4	2	1	V7/IV	F	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
3	3	3	3a	6	6	2.0	0	0	3/4	2	1	IV	F	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	2	1	ii6	F	I	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	4	4	4a	9	9	3.0	0	0	3/4	2	1	viio6	F	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
5	5	5	5a	12	12	2.0	0	0	3/4	2	1	I]	F	I	I	I		I							M	0	0	0, 4, 1		0	0
5	5	5	5a	14	14	1.0	1/2	1/2	3/4	2	1	vi6	F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
6	6	6	6a	15	15	1.0	0	0	3/4	2	1	ii	F	I		ii		ii							m	0	0	2, -1, 3		2	2
6	6	6	6a	16	16	2.0	1/4	1/4	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
7	7	7	7a	18	18	1.0	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
7	7	7	7a	19	19	1.0	1/4	1/4	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	7	7a	20	20	1.0	1/2	1/2	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
8	8	8	8a	21	21	1.0	0	0	3/4	2	1	ii7	F	I		ii7		ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	8	8	8a	22	22	2.0	1/4	1/4	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
9	9	9	9a	24	24	1.0	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
9	9	9	9a	25	25	1.0	1/4	1/4	3/4	2	1	IV6	F	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
9	9	9	9a	26	26	1.0	1/2	1/2	3/4	2	1	IV	F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
10	10	10	10a	27	27	2.0	0	0	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	10	10a	29	29	1.0	1/2	1/2	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
11	11	11	11a	30	30	2.0	0	0	3/4	2	1	ii6	F	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	11	11	11a	32	32	1.0	1/2	1/2	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	12	12a	33	33	2.0	0	0	3/4	2	1	I|PAC}	F	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
12	12	12	12a	35	35	1.0	1/2	1/2	3/4	2	1	I6{	F	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
13	13	13	13a	36	36	2.75	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
13	13	13	13a	155/4	155/4	0.25	11/16	11/16	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
14	14	14	14a	39	39	3.0	0	0	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	15	15a	42	42	4.0	0	0	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
16	16	16	16a	46	46	1.0	1/4	1/4	3/4	2	1	I|IAC	F	I		I		I					IAC		M	0	0	0, 4, 1		0	0
16	16	16	16a	47	47	1.0	1/2	1/2	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
17	17	17	17a	48	48	2.75	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
17	17	17	17a	203/4	203/4	0.25	11/16	11/16	3/4	2	1	V	F	I		V		V							M	0	0	1, 5, 2		1	1
18	18	18	18a	51	51	3.0	0	0	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
19	19	19	19a	54	54	3.0	0	0	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	20	20a	57	57	2.0	0	0	3/4	2	1	I|PAC}	F	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
20	20	20	20a	59	59	1.0	1/2	1/2	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	21	21a	60	60	2.0	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
21	21	21	21a	62	62	1.0	1/2	1/2	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	22	22	22a	63	63	2.0	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
22	22	22	22a	65	65	1.0	1/2	1/2	3/4	2	1	V6/vi{	F	I		V6/vi		V		6		vi		{	M	0	0	8, 5, 4		4	8
23	23	23	23a	66	66	6.0	0	0	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
25	25	25	25a	72	72	6.0	0	0	3/4	2	1	#viio65/vi	F	I		#viio65/vi		#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
27	27	27	27a	78	78	6.0	0	0	3/4	2	1	vi6	F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
