mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	3.0	0	0	6/8	2	1	f.i{	f	i		i		i						{	m	1	1	0, -3, 1		0	0
2	2	2	2a	3	3	3.0	0	0	6/8	2	1	ii%65	f	i		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
3	3	3	3a	6	6	2.5	0	0	6/8	2	1	V	f	i		V		V							M	1	1	1, 5, 2		1	1
3	3	3	3a	17/2	17/2	0.5	5/8	5/8	6/8	2	1	V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	4	4a	9	9	1.5	0	0	6/8	2	1	VI(64)	f	i		VI(64)		VI			64				M	1	1	-4, 2, -1		-4	-4
4	4	4	4a	21/2	21/2	1.0	3/8	3/8	6/8	2	1	VI	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
4	4	4	4a	23/2	23/2	0.5	5/8	5/8	6/8	2	1	Ger6	f	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
5	5	5	5a	12	12	1.5	0	0	6/8	2	1	V(64)	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
5	5	5	5a	27/2	27/2	1.5	3/8	3/8	6/8	2	1	V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	6	6	6a	15	15	1.5	0	0	6/8	2	1	VI(64)	f	i		VI(64)		VI			64				M	1	1	-4, 2, -1		-4	-4
6	6	6	6a	33/2	33/2	1.0	3/8	3/8	6/8	2	1	VI	f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
6	6	6	6a	35/2	35/2	0.5	5/8	5/8	6/8	2	1	Ger6	f	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
7	7	7	7a	18	18	1.5	0	0	6/8	2	1	V(64)	f	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
7	7	7	7a	39/2	39/2	1.5	3/8	3/8	6/8	2	1	V7	f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	8	8a	21	21	1.5	0	0	6/8	2	1	i(9#74)}	f	i		i(9#74)		i			9#74			}	m	1	1	0, -1, 1	2, 5	0	0
8	8	8	8a	45/2	45/2	1.5	3/8	3/8	6/8	2	1	i|PAC	f	i		i		i					PAC		m	1	1	0, -3, 1		0	0
9	9	9	9a	24	24	1.5	0	0	6/8	2	1	III.I64{	f	III		I64		I		64				{	M	1	0	1, 0, 4		0	1
9	9	9	9a	51/2	51/2	1.5	3/8	3/8	6/8	2	1	V	f	III		V		V							M	1	0	1, 5, 2		1	1
10	10	10	10a	27	27	1.5	0	0	6/8	2	1	V	f	III		V		V							M	1	0	1, 5, 2		1	1
10	10	10	10a	57/2	57/2	1.5	3/8	3/8	6/8	2	1	V(64)	f	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
