mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	2/2	2	1		F.I6{		F	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
1	1	1	1a	2	2	2.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
2	2	2	2a	4	4	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
2	2	2	2a	6	6	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	3	3a	8	8	2.0	0	0	2/2	2	1		V2		F	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	3	3a	10	10	2.0	1/2	1/2	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	4	4	4a	12	12	1.0	0	0	2/2	2	1		V43		F	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	4	4a	13	13	1.0	1/4	1/4	2/2	2	1		V65		F	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	4	4a	14	14	1.0	1/2	1/2	2/2	2	1		I		F	I		I		I							M	0	0	0, 4, 1		0	0
4	4	4	4a	15	15	1.0	3/4	3/4	2/2	2	1		I6		F	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	5	5a	16	16	2.0	0	0	2/2	2	1		IV		F	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
5	5	5	5a	18	18	1.0	1/2	1/2	2/2	2	1		vi	IV6	F	I		vi		vi							m	0	0	3, 0, 4		3	3
5	5	5	5a	19	19	1.0	3/4	3/4	2/2	2	1		V65/V		F	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
6	6	6	6a	20	20	1.0	0	0	2/2	2	1		V(4)}		F	I		V(4)		V			4			}	M	0	0	1, 0, 2		1	1
6	6	6	6a	21	21	3.0	1/4	1/4	2/2	2	1		V		F	I		V		V							M	0	0	1, 5, 2		1	1
6	6	6	6a	22	22	0.0	1/2	1/2	2/2	2	1		|HC		F	I									HC			0	0				
7	7	7	7a	24	24	2.0	0	0	2/2	2	1		I6{		F	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
