mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	4.0	0	0	4/4	2	1	a.i[i{	a	i	i	i		i						{	m	1	1	0, -3, 1		0	0
2	2	2	2a	4	4	4.0	0	0	4/4	2	1	V43	a	i	i	V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	3	3a	8	8	4.0	0	0	4/4	2	1	i	a	i	i	i		i							m	1	1	0, -3, 1		0	0
4	4	4	4a	12	12	4.0	0	0	4/4	2	1	V43	a	i	i	V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	5	5	5a	16	16	4.0	0	0	4/4	2	1	i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
6	6	6	6a	20	20	1.0	0	0	4/4	2	1	iv(9#7)	a	i		iv(9#7)		iv			9#7				m	1	1	-1, -4, 0	1, 4	-1	-1
6	6	6	6a	21	21	1.0	1/4	1/4	4/4	2	1	iv65	a	i		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
6	6	6	6a	22	22	2.0	1/2	1/2	4/4	2	1	VII	a	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
7	7	7	7a	24	24	1.0	0	0	4/4	2	1	III(7#2)	a	i		III(7#2)		III			7#2				M	1	1	-3, 6, -2	2	-3	-3
7	7	7	7a	25	25	1.0	1/4	1/4	4/4	2	1	IIIM65	a	i		IIIM65		III	M	65					MM7	1	1	1, -2, 2, -3		-3	1
7	7	7	7a	26	26	3.0	1/2	1/2	4/4	2	1	VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
8	8	8	8a	29	29	1.0	1/4	1/4	4/4	2	1	iio6	a	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
8	8	8	8a	30	30	1.0	1/2	1/2	4/4	2	1	V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	8	8	8a	31	31	1.0	3/4	3/4	4/4	2	1	V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	9	9a	32	32	4.0	0	0	4/4	2	1	i[i|EC}{	a	i	i	i		i					EC	}{	m	1	1	0, -3, 1		0	0
10	10	10	10a	36	36	4.0	0	0	4/4	2	1	#viio65	a	i	i	#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
11	11	11	11a	40	40	4.0	0	0	4/4	2	1	i]	a	i	i	i		i							m	1	1	0, -3, 1		0	0
12	12	12	12a	44	44	4.0	0	0	4/4	2	1	V43/VI	a	i		V43/VI		V		43		VI			Mm7	1	1	-2, -5, -3, 1		-3	-2
13	13	13	13a	48	48	1.0	0	0	4/4	2	1	VI	a	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
13	13	13	13a	49	49	1.0	1/4	1/4	4/4	2	1	iv6	a	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
13	13	13	13a	50	50	2.0	1/2	1/2	4/4	2	1	V43/iv	a	i		V43/iv		V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
14	14	14	14a	52	52	1.0	0	0	4/4	2	1	IV	a	i		IV		IV							M	1	1	-1, 3, 0		-1	-1
14	14	14	14a	53	53	1.0	1/4	1/4	4/4	2	1	V65/III	a	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
14	14	14	14a	54	54	1.0	1/2	1/2	4/4	2	1	III(#9)	a	i		III(#9)		III			#9				M	1	1	-3, 1, -2	6	-3	-3
14	14	14	14a	55	55	1.0	3/4	3/4	4/4	2	1	i	a	i		i		i							m	1	1	0, -3, 1		0	0
15	15	15	15a	56	56	3.0	0	0	4/4	2	1	III.ii6	a	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
15	15	15	15a	59	59	1.0	3/4	3/4	4/4	2	1	viio/V	a	III		viio/V		vii	o			V			o	1	0	6, 3, 0		6	6
16	16	16	16a	60	60	2.0	0	0	4/4	2	1	V[V|HC}{	a	III	V	V		V					HC	}{	M	1	0	1, 5, 2		1	1
16	16	16	16a	62	62	1.0	1/2	1/2	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
16	16	16	16a	63	63	1.0	3/4	3/4	4/4	2	1	V7	a	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
17	17	17	17a	64	64	3.0	0	0	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
17	17	17	17a	67	67	1.0	3/4	3/4	4/4	2	1	viio43/V	a	III	V	viio43/V		vii	o	43		V			o7	1	0	0, -3, 6, 3		6	0
18	18	18	18a	68	68	2.0	0	0	4/4	2	1	V	a	III	V	V		V							M	1	0	1, 5, 2		1	1
18	18	18	18a	70	70	1.0	1/2	1/2	4/4	2	1	i	a	III	V	i		i							m	1	0	0, -3, 1		0	0
