mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	6.0	0	0	4/4	2	1	D.I{		D	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	2	2a	6	6	2.0	1/2	1/2	4/4	2	1	vi	IV6	D	I		vi		vi							m	0	0	3, 0, 4		3	3
3	3	3	3a	8	8	1.0	0	0	4/4	2	1	ii	viio6	D	I		ii		ii							m	0	0	2, -1, 3		2	2
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	2	1	vi	IV6	D	I		vi		vi							m	0	0	3, 0, 4		3	3
3	3	3	3a	11	11	3.5	3/4	3/4	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
4	4	4	4a	29/2	29/2	2.0	5/8	5/8	4/4	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
5	5	5	5a	33/2	33/2	2.0	1/8	1/8	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
5	5	5	5a	37/2	37/2	2.0	5/8	5/8	4/4	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
6	6	6	6a	41/2	41/2	2.0	1/8	1/8	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
6	6	6	6a	45/2	45/2	1.5	5/8	5/8	4/4	2	1	V(64)		D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	7	7a	24	24	8.0	0	0	4/4	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	9	9a	32	32	2.0	0	0	4/4	2	1	I[I}{		D	I	I	I		I						}{	M	0	0	0, 4, 1		0	0
9	9	9	9a	34	34	1.0	1/2	1/2	4/4	2	1	viio		D	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
9	9	9	9a	35	35	1.0	3/4	3/4	4/4	2	1	V7/IV		D	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
10	10	10	10a	36	36	1.0	0	0	4/4	2	1	IV6		D	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
10	10	10	10a	37	37	1.0	1/4	1/4	4/4	2	1	V65		D	I	I	V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	10	10	10a	38	38	4.0	1/2	1/2	4/4	2	1	I		D	I	I	I		I							M	0	0	0, 4, 1		0	0
11	11	11	11a	42	42	1.0	1/2	1/2	4/4	2	1	viio6		D	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
11	11	11	11a	43	43	1.0	3/4	3/4	4/4	2	1	I		D	I	I	I		I							M	0	0	0, 4, 1		0	0
12	12	12	12a	44	44	2.0	0	0	4/4	2	1	IV		D	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
12	12	12	12a	46	46	2.0	1/2	1/2	4/4	2	1	I]		D	I	I	I		I							M	0	0	0, 4, 1		0	0
13	13	13	13a	48	48	4.0	0	0	4/4	2	1	ii65		D	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
14	14	14	14a	52	52	4.0	0	0	4/4	2	1	V43/IV		D	I		V43/IV		V		43		IV			Mm7	0	0	1, -2, 0, 4		0	1
15	15	15	15a	56	56	4.0	0	0	4/4	2	1	IV6		D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
16	16	16	16a	60	60	4.0	0	0	4/4	2	1	Ger6		D	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
17	17	17	17a	64	64	1.5	0	0	4/4	2	1	V|HC}{		D	I		V		V					HC	}{	M	0	0	1, 5, 2		1	1
17	17	17	17a	131/2	131/2	0.5	3/8	3/8	4/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
17	17	17	17a	66	66	0.5	1/2	1/2	4/4	2	1	V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	17	17a	133/2	133/2	0.5	5/8	5/8	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
17	17	17	17a	67	67	0.5	3/4	3/4	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	17	17	17a	135/2	135/2	0.5	7/8	7/8	4/4	2	1	vi7		D	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
18	18	18	18a	68	68	0.5	0	0	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
18	18	18	18a	137/2	137/2	0.5	1/8	1/8	4/4	2	1	vi7		D	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
18	18	18	18a	69	69	0.5	1/4	1/4	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
18	18	18	18a	139/2	139/2	0.5	3/8	3/8	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
18	18	18	18a	70	70	0.5	1/2	1/2	4/4	2	1	V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
18	18	18	18a	141/2	141/2	0.5	5/8	5/8	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
18	18	18	18a	71	71	0.5	3/4	3/4	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
18	18	18	18a	143/2	143/2	0.5	7/8	7/8	4/4	2	1	vi7		D	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
19	19	19	19a	72	72	1.5	0	0	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
19	19	19	19a	147/2	147/2	0.5	3/8	3/8	4/4	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
19	19	19	19a	74	74	0.5	1/2	1/2	4/4	2	1	V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
19	19	19	19a	149/2	149/2	0.5	5/8	5/8	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
19	19	19	19a	75	75	0.5	3/4	3/4	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
19	19	19	19a	151/2	151/2	0.5	7/8	7/8	4/4	2	1	vi7		D	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
20	20	20	20a	76	76	0.5	0	0	4/4	2	1	V		D	I		V		V							M	0	0	1, 5, 2		1	1
20	20	20	20a	153/2	153/2	0.5	1/8	1/8	4/4	2	1	vi7		D	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
20	20	20	20a	77	77	0.5	1/4	1/4	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
20	20	20	20a	155/2	155/2	0.5	3/8	3/8	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
20	20	20	20a	78	78	0.5	1/2	1/2	4/4	2	1	V43		D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	20	20	20a	157/2	157/2	0.5	5/8	5/8	4/4	2	1	V6		D	I		V6		V		6					M	0	0	5, 2, 1		1	5
20	20	20	20a	79	79	0.5	3/4	3/4	4/4	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
20	20	20	20a	159/2	159/2	0.5	7/8	7/8	4/4	2	1	vi7		D	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
21	21	21	21a	80	80	4.0	0	0	4/4	2	1	V}		D	I		V		V						}	M	0	0	1, 5, 2		1	1
22	22	22	22a	84	84	4.0	0	0	4/4	2	1	V.V{		D	V		V		V						{	M	0	0	1, 5, 2		1	1
23	23	23	23a	88	88	0.5	0	0	4/4	2	1	V6(2)		D	V		V6(2)		V		6	2				M	0	0	5, 2, 3		1	5
23	23	23	23a	177/2	177/2	3.5	1/8	1/8	4/4	2	1	V6		D	V		V6		V		6					M	0	0	5, 2, 1		1	5
24	24	24	24a	92	92	0.5	0	0	4/4	2	1	IV6(2)		D	V		IV6(2)		IV		6	2				M	0	0	3, 0, 1		-1	3
24	24	24	24a	185/2	185/2	1.5	1/8	1/8	4/4	2	1	IV6		D	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
24	24	24	24a	94	94	0.5	1/2	1/2	4/4	2	1	iii6(2)		D	V		iii6(2)		iii		6	2				m	0	0	1, 5, -1		4	1
24	24	24	24a	189/2	189/2	1.5	5/8	5/8	4/4	2	1	iii6		D	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
25	25	25	25a	96	96	2.0	0	0	4/4	2	1	ii6		D	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
25	25	25	25a	98	98	2.0	1/2	1/2	4/4	2	1	I6		D	V		I6		I		6					M	0	0	4, 1, 0		0	4
26	26	26	26a	100	100	4.0	0	0	4/4	2	1	V		D	V		V		V							M	0	0	1, 5, 2		1	1
27	27	27	27a	104	104	0.75	0	0	4/4	2	1	V6(#7)		D	V		V6(#7)		V		6	#7				M	0	0	5, 2, 6		1	5
27	27	27	27a	419/4	419/4	3.25	3/16	3/16	4/4	2	1	V6		D	V		V6		V		6					M	0	0	5, 2, 1		1	5
28	28	28	28a	108	108	0.5	0	0	4/4	2	1	IV6(2)		D	V		IV6(2)		IV		6	2				M	0	0	3, 0, 1		-1	3
28	28	28	28a	217/2	217/2	1.0	1/8	1/8	4/4	2	1	IV6(7)		D	V		IV6(7)		IV		6	7				M	0	0	3, 0, 4		-1	3
28	28	28	28a	219/2	219/2	0.5	3/8	3/8	4/4	2	1	IV6		D	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
28	28	28	28a	110	110	0.5	1/2	1/2	4/4	2	1	iii6(2)		D	V		iii6(2)		iii		6	2				m	0	0	1, 5, -1		4	1
