mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	2.0	0	1/2	2/2	2	1	D.V{		D	I		V		V						{	M	0	0	1, 5, 2		1	1
2	1	2	1a	2	2	2.0	0	0	2/2	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
2	1	2	1a	4	4	2.0	1/2	1/2	2/2	2	1	vi		D	I		vi		vi							m	0	0	3, 0, 4		3	3
3	2	3	2a	6	6	2.0	0	0	2/2	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	2	3	2a	8	8	2.0	1/2	1/2	2/2	2	1	V7		D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	4	3a	10	10	2.0	0	0	2/2	2	1	I		D	I		I		I							M	0	0	0, 4, 1		0	0
4	3	4	3a	12	12	2.0	1/2	1/2	2/2	2	1	ii6		D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
5	4	5	4a	14	14	1.0	0	0	2/2	2	1	V(64)}		D	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
5	4	5	4a	15	15	3.0	1/4	1/4	2/2	2	1	V|HC		D	I		V		V					HC		M	0	0	1, 5, 2		1	1
5	4	5	4a	16	16	0.0	1/2	1/2	2/2	2	1	{		D	I										{		0	0				
6	5	6	5a	18	18	2.0	0	0	2/2	2	1	I6		D	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	5	6	5a	20	20	2.0	1/2	1/2	2/2	2	1	vi6		D	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
7	6	7	6a	22	22	2.0	0	0	2/2	2	1	V.V7		D	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	7	6a	24	24	2.0	1/2	1/2	2/2	2	1	viio		D	V		viio		vii	o						o	0	0	5, 2, -1		5	5
8	7	8	7a	26	26	1.0	0	0	2/2	2	1	I		D	V		I		I							M	0	0	0, 4, 1		0	0
