mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	8.0	0	0	4/4	2	1	C.I{	C	I		I	I						{	M	0	0	0, 4, 1		0	0
3	3	3	3a	8	8	2.0	0	0	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	3	3a	10	10	2.0	1/2	1/2	4/4	2	1	V65/ii	C	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
4	4	4	4a	12	12	2.0	0	0	4/4	2	1	V43	C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	4	4	4a	14	14	2.0	1/2	1/2	4/4	2	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	5	5a	16	16	2.0	0	0	4/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
5	5	5	5a	18	18	2.0	1/2	1/2	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	6	6a	20	20	6.0	0	0	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	7	7a	26	26	1.0	1/2	1/2	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	7	7a	27	27	1.0	3/4	3/4	4/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	8	8a	28	28	8.0	0	0	4/4	2	1	I|PAC}{	C	I		I	I					PAC	}{	M	0	0	0, 4, 1		0	0
10	10	10	10a	36	36	2.0	0	0	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	10	10a	38	38	2.0	1/2	1/2	4/4	2	1	V65/ii	C	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
11	11	11	11a	40	40	2.0	0	0	4/4	2	1	V43	C	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	11	11a	42	42	2.0	1/2	1/2	4/4	2	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	12	12	12a	44	44	2.0	0	0	4/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
12	12	12	12a	46	46	2.0	1/2	1/2	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	13	13	13a	48	48	2.0	0	0	4/4	2	1	#viio43/ii	C	I		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
13	13	13	13a	50	50	2.0	1/2	1/2	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
14	14	14	14a	52	52	2.0	0	0	4/4	2	1	viio6/IV	C	I		viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
14	14	14	14a	54	54	4.0	1/2	1/2	4/4	2	1	IV6	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
15	15	15	15a	58	58	2.0	1/2	1/2	4/4	2	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
16	16	16	16a	60	60	2.0	0	0	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
16	16	16	16a	62	62	2.0	1/2	1/2	4/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
17	17	17	17a	64	64	2.0	0	0	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
17	17	17	17a	66	66	1.0	1/2	1/2	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
17	17	17	17a	67	67	1.0	3/4	3/4	4/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
18	18	18	18a	68	68	2.0	0	0	4/4	2	1	IV6|EC	C	I		IV6	IV		6			EC		M	0	0	3, 0, -1		-1	3
18	18	18	18a	70	70	2.0	1/2	1/2	4/4	2	1	IV	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	19	19a	72	72	2.0	0	0	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	19	19	19a	74	74	2.0	1/2	1/2	4/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
20	20	20	20a	76	76	1.0	0	0	4/4	2	1	ii65	C	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
20	20	20	20a	77	77	1.0	1/4	1/4	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
20	20	20	20a	78	78	1.0	1/2	1/2	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
20	20	20	20a	79	79	1.0	3/4	3/4	4/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
21	21	21	21a	80	80	8.0	0	0	4/4	2	1	I|PAC}{	C	I		I	I					PAC	}{	M	0	0	0, 4, 1		0	0
23	23	23	23a	88	88	8.0	0	0	4/4	2	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
25	25	25	25a	96	96	8.0	0	0	4/4	2	1	V.V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
27	27	27	27a	104	104	1.0	0	0	4/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
27	27	27	27a	105	105	1.0	1/4	1/4	4/4	2	1	V64	C	V		V64	V		64					M	0	0	2, 1, 5		1	2
27	27	27	27a	106	106	1.0	1/2	1/2	4/4	2	1	V65	C	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
27	27	27	27a	107	107	1.0	3/4	3/4	4/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
28	28	28	28a	108	108	1.0	0	0	4/4	2	1	I	C	V		I	I							M	0	0	0, 4, 1		0	0
28	28	28	28a	109	109	1.0	1/4	1/4	4/4	2	1	V64	C	V		V64	V		64					M	0	0	2, 1, 5		1	2
