mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	6.0	0	5/8	6/8	2	1	D.I{	D	I		I		I						{	M	0	0	0, 4, 1		0	0
3	2	3	2a	6	6	0.5	5/8	5/8	6/8	2	1	V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
4	3	4	3a	13/2	13/2	1.0	0	0	6/8	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	4	3a	15/2	15/2	0.5	1/4	1/4	6/8	2	1	V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	3	4	3a	8	8	1.0	3/8	3/8	6/8	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
4	3	4	3a	9	9	0.5	5/8	5/8	6/8	2	1	ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
5	4	5	4a	19/2	19/2	1.5	0	0	6/8	2	1	V(64)}	D	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
5	4	5	4a	11	11	1.0	3/8	3/8	6/8	2	1	V|HC	D	I		V		V					HC		M	0	0	1, 5, 2		1	1
5	4	5	4a	12	12	6.0	5/8	5/8	6/8	2	1	ii{	D	I		ii		ii						{	m	0	0	2, -1, 3		2	2
7	6	7	6a	18	18	0.5	5/8	5/8	6/8	2	1	#viio6/ii	D	I		#viio6/ii		#vii	o	6		ii			o	0	0	4, 1, 7		7	4
8	7	8	7a	37/2	37/2	2.5	0	0	6/8	2	1	ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	8	7a	21	21	0.5	5/8	5/8	6/8	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
9	8	9	8a	43/2	43/2	1.5	0	0	6/8	2	1	I(94)}	D	I		I(94)		I			94			}	M	0	0	0, -1, 1	2	0	0
9	8	9	8a	23	23	4.5	3/8	3/8	6/8	2	1	I|PAC	D	I		I		I					PAC		M	0	0	0, 4, 1		0	0
9	8	9	8a	24	24	0.0	5/8	5/8	6/8	2	1	{	D	I										{		0	0				
11	10	11	10a	55/2	55/2	2.5	0	0	6/8	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
11	10	11	10a	30	30	0.5	5/8	5/8	6/8	2	1	V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
12	11	12	11a	61/2	61/2	1.0	0	0	6/8	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
12	11	12	11a	63/2	63/2	0.5	1/4	1/4	6/8	2	1	V64	D	I		V64		V		64					M	0	0	2, 1, 5		1	2
12	11	12	11a	32	32	1.0	3/8	3/8	6/8	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
12	11	12	11a	33	33	0.5	5/8	5/8	6/8	2	1	ii6	D	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
13	12	13	12a	67/2	67/2	1.5	0	0	6/8	2	1	V(64)}	D	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
13	12	13	12a	35	35	1.0	3/8	3/8	6/8	2	1	V|HC	D	I		V		V					HC		M	0	0	1, 5, 2		1	1
13	12	13	12a	36	36	3.5	5/8	5/8	6/8	2	1	ii{	D	I		ii		ii						{	m	0	0	2, -1, 3		2	2
15	14	15	14a	79/2	79/2	2.5	0	0	6/8	2	1	V7/ii	D	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
