mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	3/4	2	1	A.I{		A	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	2	1	V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	2	2	2a	3	3	3.0	0	0	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3	3a	6	6	2.0	0	0	3/4	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
4	4	4	4a	9	9	3.0	0	0	3/4	2	1	V65		A	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	5	5	5a	12	12	2.0	0	0	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	5	5a	14	14	1.0	1/2	1/2	3/4	2	1	V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	6	6a	15	15	2.0	0	0	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
6	6	6	6a	17	17	1.0	1/2	1/2	3/4	2	1	V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	7	7a	18	18	1.5	0	0	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	7	7a	39/2	39/2	0.5	3/8	3/8	3/4	2	1	V2		A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	7	7a	20	20	0.5	1/2	1/2	3/4	2	1	I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	7	7a	41/2	41/2	0.5	5/8	5/8	3/4	2	1	V43		A	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	8	8	8a	21	21	0.5	0	0	3/4	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
8	8	8	8a	43/2	43/2	0.5	1/8	1/8	3/4	2	1	ii6		A	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	8	8	8a	22	22	1.0	1/4	1/4	3/4	2	1	V(64)}		A	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
8	8	8	8a	23	23	1.0	1/2	1/2	3/4	2	1	V|HC		A	I		V		V					HC		M	0	0	1, 5, 2		1	1
9	9	9	9a	24	24	2.0	0	0	3/4	2	1	I{		A	I		I		I						{	M	0	0	0, 4, 1		0	0
9	9	9	9a	26	26	1.0	1/2	1/2	3/4	2	1	V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
