mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	4.0	0	0	4/4	2	1	C.I{	C	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	2	2a	4	4	2.0	0	0	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
2	2	2	2a	6	6	0.5	1/2	1/2	4/4	2	1	V2	C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
2	2	2	2a	13/2	13/2	0.5	5/8	5/8	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	2	2a	7	7	0.5	3/4	3/4	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
2	2	2	2a	15/2	15/2	0.5	7/8	7/8	4/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
3	3	3	3a	8	8	4.0	0	0	4/4	2	1	I|PAC}{	C	I		I	I					PAC	}{	M	0	0	0, 4, 1		0	0
4	4	4	4a	12	12	2.0	0	0	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	4	4a	14	14	0.5	1/2	1/2	4/4	2	1	V2	C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
4	4	4	4a	29/2	29/2	0.5	5/8	5/8	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	4	4a	15	15	0.5	3/4	3/4	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	4	4a	31/2	31/2	0.5	7/8	7/8	4/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
5	5	5	5a	16	16	2.0	0	0	4/4	2	1	I|PAC}{	C	I		I	I					PAC	}{	M	0	0	0, 4, 1		0	0
5	5	5	5a	18	18	1.0	1/2	1/2	4/4	2	1	V6(#11)	C	I		V6(#11)	V		6	#11				M	0	0	5, 2, 1	7	1	5
5	5	5	5a	19	19	2.0	3/4	3/4	4/4	2	1	V6	C	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	6	6a	21	21	1.0	1/4	1/4	4/4	2	1	V65	C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	6	6	6a	22	22	1.0	1/2	1/2	4/4	2	1	I[I(#9)	C	I	I	I(#9)	I			#9				M	0	0	0, 4, 1	9	0	0
6	6	6	6a	23	23	2.0	3/4	3/4	4/4	2	1	I	C	I	I	I	I							M	0	0	0, 4, 1		0	0
7	7	7	7a	25	25	1.0	1/4	1/4	4/4	2	1	V7/IV	C	I	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
7	7	7	7a	26	26	1.0	1/2	1/2	4/4	2	1	IV(#9)	C	I	I	IV(#9)	IV			#9				M	0	0	-1, 3, 0	8	-1	-1
7	7	7	7a	27	27	3.0	3/4	3/4	4/4	2	1	IV	C	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
8	8	8	8a	30	30	1.0	1/2	1/2	4/4	2	1	I(#11)	C	I	I	I(#11)	I			#11				M	0	0	0, 4, 1	6	0	0
