mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	1.5	0	7/8	4/4	2	1	Bb.I{	Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
2	1	2	1a	3/2	3/2	1.0	1/4	1/4	4/4	2	1	V43	Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	1	2	1a	5/2	5/2	1.0	1/2	1/2	4/4	2	1	I6(#11)	Bb	I		I6(#11)		I		6	#11				M	0	0	4, 1, 0	6	0	4
2	1	2	1a	7/2	7/2	1.0	3/4	3/4	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	2a	9/2	9/2	1.0	0	0	4/4	2	1	V6	Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
3	2	3	2a	11/2	11/2	1.0	1/4	1/4	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	2a	13/2	13/2	1.0	1/2	1/2	4/4	2	1	V64	Bb	I		V64		V		64					M	0	0	2, 1, 5		1	2
3	2	3	2a	15/2	15/2	1.0	3/4	3/4	4/4	2	1	V2	Bb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
4	3	4	3a	17/2	17/2	2.0	0	0	4/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	4	3a	21/2	21/2	2.0	1/2	1/2	4/4	2	1	V6	Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	5	4a	25/2	25/2	1.5	0	0	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
5	4	5	4a	14	14	0.5	3/8	3/8	4/4	2	1	ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
5	4	5	4a	29/2	29/2	1.0	1/2	1/2	4/4	2	1	V(64)}	Bb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
5	4	5	4a	31/2	31/2	1.0	3/4	3/4	4/4	2	1	V|HC	Bb	I		V		V					HC		M	0	0	1, 5, 2		1	1
6	5	6	5a	33/2	33/2	1.0	0	0	4/4	2	1	I{	Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
6	5	6	5a	35/2	35/2	1.0	1/4	1/4	4/4	2	1	V43	Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	5	6	5a	37/2	37/2	1.0	1/2	1/2	4/4	2	1	I6(#11)	Bb	I		I6(#11)		I		6	#11				M	0	0	4, 1, 0	6	0	4
6	5	6	5a	39/2	39/2	1.0	3/4	3/4	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	7	6a	41/2	41/2	1.0	0	0	4/4	2	1	V6	Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
7	6	7	6a	43/2	43/2	1.0	1/4	1/4	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	7	6a	45/2	45/2	1.0	1/2	1/2	4/4	2	1	V64	Bb	I		V64		V		64					M	0	0	2, 1, 5		1	2
7	6	7	6a	47/2	47/2	1.0	3/4	3/4	4/4	2	1	V2	Bb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
8	7	8	7a	49/2	49/2	2.0	0	0	4/4	2	1	I6	Bb	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	7	8	7a	53/2	53/2	2.0	1/2	1/2	4/4	2	1	ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
9	8	9	8a	57/2	57/2	1.0	0	0	4/4	2	1	V(64)	Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
9	8	9	8a	59/2	59/2	1.0	1/4	1/4	4/4	2	1	V7	Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	9	8a	61/2	61/2	2.0	1/2	1/2	4/4	2	1	I|PAC}	Bb	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
9	8	9	8a	32	32	0.0	7/8	7/8	4/4	2	1	{	Bb	I										{		0	0				
10	9	10	9a	65/2	65/2	1.0	0	0	4/4	2	1	V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
10	9	10	9a	67/2	67/2	1.0	1/4	1/4	4/4	2	1	viio6/V	Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
10	9	10	9a	69/2	69/2	1.0	1/2	1/2	4/4	2	1	V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	9	10	9a	71/2	71/2	0.5	3/4	3/4	4/4	2	1	I(4)	Bb	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
10	9	10	9a	36	36	0.5	7/8	7/8	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
11	10	11	10a	73/2	73/2	1.0	0	0	4/4	2	1	ii6(2)	Bb	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
11	10	11	10a	75/2	75/2	0.5	1/4	1/4	4/4	2	1	ii6	Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	10	11	10a	38	38	0.5	3/8	3/8	4/4	2	1	V6/V	Bb	I		V6/V		V		6		V			M	0	0	6, 3, 2		2	6
11	10	11	10a	77/2	77/2	1.0	1/2	1/2	4/4	2	1	V(4)	Bb	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
11	10	11	10a	79/2	79/2	2.0	3/4	3/4	4/4	2	1	V|HC	Bb	I		V		V					HC		M	0	0	1, 5, 2		1	1
12	11	12	11a	83/2	83/2	1.0	1/4	1/4	4/4	2	1	viio6/V	Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
12	11	12	11a	85/2	85/2	1.0	1/2	1/2	4/4	2	1	V65	Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	11	12	11a	87/2	87/2	0.5	3/4	3/4	4/4	2	1	I(4)	Bb	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
12	11	12	11a	44	44	0.5	7/8	7/8	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
13	12	13	12a	89/2	89/2	2.0	0	0	4/4	2	1	viio6/V	Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
13	12	13	12a	93/2	93/2	2.0	1/2	1/2	4/4	2	1	V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
14	13	14	13a	97/2	97/2	2.0	0	0	4/4	2	1	viio6/V	Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
14	13	14	13a	101/2	101/2	2.0	1/2	1/2	4/4	2	1	V	Bb	I		V		V							M	0	0	1, 5, 2		1	1
15	14	15	14a	105/2	105/2	2.0	0	0	4/4	2	1	viio6/V	Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
15	14	15	14a	109/2	109/2	2.0	1/2	1/2	4/4	2	1	V}	Bb	I		V		V						}	M	0	0	1, 5, 2		1	1
16	15	16	15a	113/2	113/2	1.0	0	0	4/4	2	1	I{	Bb	I		I		I						{	M	0	0	0, 4, 1		0	0
16	15	16	15a	115/2	115/2	1.0	1/4	1/4	4/4	2	1	V43	Bb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
16	15	16	15a	117/2	117/2	1.0	1/2	1/2	4/4	2	1	I6(#11)	Bb	I		I6(#11)		I		6	#11				M	0	0	4, 1, 0	6	0	4
16	15	16	15a	119/2	119/2	1.0	3/4	3/4	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
17	16	17	16a	121/2	121/2	1.0	0	0	4/4	2	1	V6	Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
17	16	17	16a	123/2	123/2	1.0	1/4	1/4	4/4	2	1	I	Bb	I		I		I							M	0	0	0, 4, 1		0	0
17	16	17	16a	125/2	125/2	1.0	1/2	1/2	4/4	2	1	V64	Bb	I		V64		V		64					M	0	0	2, 1, 5		1	2
