mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	1.5	0	0	6/8	2	1		A.I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1a	3/2	3/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	2	2a	3	3	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	2	2a	9/2	9/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	3	3	3a	6	6	1.5	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
3	3	3	3a	15/2	15/2	1.5	3/8	3/8	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	4	4	4a	9	9	1.0	0	0	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
4	4	4	4a	10	10	0.5	1/4	1/4	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	4	4a	21/2	21/2	1.0	3/8	3/8	6/8	2	1		V(64)}	A	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
4	4	4	4a	23/2	23/2	0.5	5/8	5/8	6/8	2	1		V|HC	A	I		V	V					HC		M	0	0	1, 5, 2		1	1
5	5	5	5a	12	12	1.5	0	0	6/8	2	1		I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
5	5	5	5a	27/2	27/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	6	6a	15	15	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	6	6a	33/2	33/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	7	7	7a	18	18	1.0	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
7	7	7	7a	19	19	0.5	1/4	1/4	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	7	7a	39/2	39/2	1.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
7	7	7	7a	41/2	41/2	0.5	5/8	5/8	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
8	8	8	8a	21	21	1.0	0	0	6/8	2	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	8	8	8a	22	22	0.5	1/4	1/4	6/8	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	8	8a	45/2	45/2	1.5	3/8	3/8	6/8	2	1		I|PAC}	A	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
1	1	9	1b	24	0	1.5	0	0	6/8	2	1		A.I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	9	1b	51/2	3/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	10	2b	27	3	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	10	2b	57/2	9/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	3	11	3b	30	6	1.5	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
3	3	11	3b	63/2	15/2	1.5	3/8	3/8	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
4	4	12	4b	33	9	1.0	0	0	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
4	4	12	4b	34	10	0.5	1/4	1/4	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	12	4b	69/2	21/2	1.0	3/8	3/8	6/8	2	1		V(64)}	A	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
4	4	12	4b	71/2	23/2	0.5	5/8	5/8	6/8	2	1		V|HC	A	I		V	V					HC		M	0	0	1, 5, 2		1	1
5	5	13	5b	36	12	1.5	0	0	6/8	2	1		I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
5	5	13	5b	75/2	27/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	14	6b	39	15	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	6	14	6b	81/2	33/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	7	15	7b	42	18	1.0	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
7	7	15	7b	43	19	0.5	1/4	1/4	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	15	7b	87/2	39/2	1.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
7	7	15	7b	89/2	41/2	0.5	5/8	5/8	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
8	8	16	8b	45	21	1.0	0	0	6/8	2	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	8	16	8b	46	22	0.5	1/4	1/4	6/8	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	16	8b	93/2	45/2	3.0	3/8	3/8	6/8	2	1		I|PAC}	A	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	9	17	9a	48	24	0.0	0	0	6/8	2	1		{	A	I									{		0	0				
9	9	17	9a	99/2	51/2	3.0	3/8	3/8	6/8	2	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
10	10	18	10a	105/2	57/2	3.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
11	11	19	11a	111/2	63/2	1.5	3/8	3/8	6/8	2	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	12	20	12a	57	33	1.0	0	0	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
12	12	20	12a	58	34	0.5	1/4	1/4	6/8	2	1		viio6/V	A	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
12	12	20	12a	117/2	69/2	1.0	3/8	3/8	6/8	2	1		V(64)}	A	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
12	12	20	12a	119/2	71/2	0.5	5/8	5/8	6/8	2	1		V|HC	A	I		V	V					HC		M	0	0	1, 5, 2		1	1
13	13	21	13a	60	36	1.5	0	0	6/8	2	1		I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
13	13	21	13a	123/2	75/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	22	14a	63	39	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	22	14a	129/2	81/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	15	23	15a	66	42	1.0	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
15	15	23	15a	67	43	0.5	1/4	1/4	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	15	23	15a	135/2	87/2	1.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
15	15	23	15a	137/2	89/2	0.5	5/8	5/8	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	16	24	16a	69	45	1.0	0	0	6/8	2	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
16	16	24	16a	70	46	0.5	1/4	1/4	6/8	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
16	16	24	16a	141/2	93/2	1.0	3/8	3/8	6/8	2	1		I(97)}	A	I		I(97)	I			97			}	M	0	0	0, 4, 1	2, 5	0	0
16	16	24	16a	143/2	95/2	1.5	5/8	5/8	6/8	2	1		I|IAC	A	I		I	I					IAC		M	0	0	0, 4, 1		0	0
17	17	25	17a	72	48	0.0	0	0	6/8	2	1		{	A	I									{		0	0				
17	17	25	17a	73	49	0.5	1/4	1/4	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
17	17	25	17a	147/2	99/2	1.0	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
17	17	25	17a	149/2	101/2	0.5	5/8	5/8	6/8	2	1		IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	18	26	18a	75	51	1.0	0	0	6/8	2	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
18	18	26	18a	76	52	0.5	1/4	1/4	6/8	2	1		V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	26	18a	153/2	105/2	3.0	3/8	3/8	6/8	2	1		I|PAC}	A	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	9	27	9b	78	24	0.0	0	0	6/8	2	1		{	A	I									{		0	0				
9	9	27	9b	159/2	51/2	3.0	3/8	3/8	6/8	2	1		IV64	A	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
10	10	28	10b	165/2	57/2	3.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
11	11	29	11b	171/2	63/2	1.5	3/8	3/8	6/8	2	1		V65	A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	12	30	12b	87	33	1.0	0	0	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
12	12	30	12b	88	34	0.5	1/4	1/4	6/8	2	1		viio6/V	A	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
12	12	30	12b	177/2	69/2	1.0	3/8	3/8	6/8	2	1		V(64)}	A	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
12	12	30	12b	179/2	71/2	0.5	5/8	5/8	6/8	2	1		V|HC	A	I		V	V					HC		M	0	0	1, 5, 2		1	1
13	13	31	13b	90	36	1.5	0	0	6/8	2	1		I{	A	I		I	I						{	M	0	0	0, 4, 1		0	0
13	13	31	13b	183/2	75/2	1.5	3/8	3/8	6/8	2	1		I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
14	14	32	14b	93	39	1.5	0	0	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
14	14	32	14b	189/2	81/2	1.5	3/8	3/8	6/8	2	1		V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
15	15	33	15b	96	42	1.0	0	0	6/8	2	1		vi7	A	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
15	15	33	15b	97	43	0.5	1/4	1/4	6/8	2	1		V6	A	I		V6	V		6					M	0	0	5, 2, 1		1	5
15	15	33	15b	195/2	87/2	1.0	3/8	3/8	6/8	2	1		I	A	I		I	I							M	0	0	0, 4, 1		0	0
15	15	33	15b	197/2	89/2	0.5	5/8	5/8	6/8	2	1		ii6	A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	16	34	16b	99	45	1.0	0	0	6/8	2	1		V(64)	A	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
16	16	34	16b	100	46	0.5	1/4	1/4	6/8	2	1		V	A	I		V	V							M	0	0	1, 5, 2		1	1
16	16	34	16b	201/2	93/2	1.0	3/8	3/8	6/8	2	1		I(97)}	A	I		I(97)	I			97			}	M	0	0	0, 4, 1	2, 5	0	0
16	16	34	16b	203/2	95/2	1.5	5/8	5/8	6/8	2	1		I|IAC	A	I		I	I					IAC		M	0	0	0, 4, 1		0	0
17	17	35	17b	102	48	0.0	0	0	6/8	2	1		{	A	I									{		0	0				
