mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	2.5	0	3/8	2/4	2	1	Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
3	2	3	2a	5/2	5/2	2.0	0	0	2/4	2	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	3	4	3a	9/2	9/2	0.5	0	0	2/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
4	3	4	3a	5	5	0.5	1/8	1/8	2/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	4	3a	11/2	11/2	0.5	1/4	1/4	2/4	2	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	4	3a	6	6	0.5	3/8	3/8	2/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
5	4	5	4a	13/2	13/2	0.5	0	0	2/4	2	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
5	4	5	4a	7	7	0.5	1/8	1/8	2/4	2	1	viio	Eb	I		viio		vii	o						o	0	0	5, 2, -1		5	5
5	4	5	4a	15/2	15/2	3.0	1/4	1/4	2/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	7	6a	21/2	21/2	2.0	0	0	2/4	2	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
8	7	8	7a	25/2	25/2	0.5	0	0	2/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
8	7	8	7a	13	13	0.5	1/8	1/8	2/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	7	8	7a	27/2	27/2	0.5	1/4	1/4	2/4	2	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
8	7	8	7a	14	14	0.5	3/8	3/8	2/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
9	8	9	8a	29/2	29/2	0.5	0	0	2/4	2	1	V(64)}	Eb	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
9	8	9	8a	15	15	1.0	1/8	1/8	2/4	2	1	V|HC	Eb	I		V		V					HC		M	0	0	1, 5, 2		1	1
9	8	9	8a	16	16	2.5	3/8	3/8	2/4	2	1	V.I{	Eb	V		I		I						{	M	0	0	0, 4, 1		0	0
11	10	11	10a	37/2	37/2	2.0	0	0	2/4	2	1	V65	Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	11	12	11a	41/2	41/2	2.0	0	0	2/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
13	12	13	12a	45/2	45/2	2.0	0	0	2/4	2	1	V65	Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
14	13	14	13a	49/2	49/2	1.0	0	0	2/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
14	13	14	13a	51/2	51/2	1.0	1/4	1/4	2/4	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
15	14	15	14a	53/2	53/2	2.0	0	0	2/4	2	1	ii6	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
16	15	16	15a	57/2	57/2	0.5	0	0	2/4	2	1	V(64)}	Eb	V		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
16	15	16	15a	29	29	1.5	1/8	1/8	2/4	2	1	V|HC	Eb	V		V		V					HC		M	0	0	1, 5, 2		1	1
16	15	16	15a	59/2	59/2	0.0	1/4	1/4	2/4	2	1	{	Eb	V										{		0	0				
17	16	17	16a	61/2	61/2	2.0	0	0	2/4	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
18	17	18	17a	65/2	65/2	1.5	0	0	2/4	2	1	ii6(#7)	Eb	V		ii6(#7)		ii		6	#7				m	0	0	-1, 3, 7		2	-1
18	17	18	17a	34	34	0.5	3/8	3/8	2/4	2	1	ii6	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
19	18	19	18a	69/2	69/2	2.0	0	0	2/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	19	20	19a	73/2	73/2	1.5	0	0	2/4	2	1	vi(#4)	Eb	V		vi(#4)		vi			#4				m	0	0	3, 0, 9		3	3
