mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	3/4	2	1	G.I{	G	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1a	2	2	1.0	1/2	1/2	3/4	2	1	V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	2	2a	3	3	3.0	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
3	3	3	3a	6	6	2.0	0	0	3/4	2	1	IV64	G	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
3	3	3	3a	8	8	1.0	1/2	1/2	3/4	2	1	I(6#4#2)	G	I		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
4	4	4	4a	9	9	3.0	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
5	5	5	5a	12	12	3.0	0	0	3/4	2	1	V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	6	6	6a	15	15	1.0	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
6	6	6	6a	16	16	1.0	1/4	1/4	3/4	2	1	vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
6	6	6	6a	17	17	1.0	1/2	1/2	3/4	2	1	I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	7	7a	18	18	1.0	0	0	3/4	2	1	ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	7	7	7a	19	19	1.0	1/4	1/4	3/4	2	1	IV	G	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	7	7a	20	20	1.0	1/2	1/2	3/4	2	1	IV6	G	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
8	8	8	8a	21	21	1.0	0	0	3/4	2	1	V(64)}	G	I		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
8	8	8	8a	22	22	2.0	1/4	1/4	3/4	2	1	V|HC	G	I		V		V					HC		M	0	0	1, 5, 2		1	1
9	9	9	9a	24	24	2.0	0	0	3/4	2	1	I{	G	I		I		I						{	M	0	0	0, 4, 1		0	0
9	9	9	9a	26	26	1.0	1/2	1/2	3/4	2	1	V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	10	10a	27	27	3.0	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
11	11	11	11a	30	30	2.0	0	0	3/4	2	1	IV64	G	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
11	11	11	11a	32	32	1.0	1/2	1/2	3/4	2	1	I(6#4#2)	G	I		I(6#4#2)		I			6#4#2				M	0	0	0, 9, 6, 3		0	0
12	12	12	12a	33	33	3.0	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
13	13	13	13a	36	36	3.0	0	0	3/4	2	1	V43	G	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
14	14	14	14a	39	39	1.0	0	0	3/4	2	1	I	G	I		I		I							M	0	0	0, 4, 1		0	0
14	14	14	14a	40	40	1.0	1/4	1/4	3/4	2	1	vi	G	I		vi		vi							m	0	0	3, 0, 4		3	3
14	14	14	14a	41	41	1.0	1/2	1/2	3/4	2	1	I6	G	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	15	15a	42	42	1.0	0	0	3/4	2	1	ii6	G	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
15	15	15	15a	43	43	1.0	1/4	1/4	3/4	2	1	V(64)	G	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
15	15	15	15a	44	44	1.0	1/2	1/2	3/4	2	1	V7	G	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	16	16a	45	45	1.0	0	0	3/4	2	1	I(974)}	G	I		I(974)		I			974			}	M	0	0	0, -1, 1	2, 5	0	0
16	16	16	16a	46	46	2.0	1/4	1/4	3/4	2	1	I|PAC	G	I		I		I					PAC		M	0	0	0, 4, 1		0	0
