mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	2.0	0	0	4/4	2	1	Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	1a	2	2	1.0	1/2	1/2	4/4	2	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
1	1	1	1a	3	3	0.5	3/4	3/4	4/4	2	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
1	1	1	1a	7/2	7/2	0.5	7/8	7/8	4/4	2	1	viio6/V	Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
2	2	2	2a	4	4	2.0	0	0	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	2	2a	5	5	0.0	1/4	1/4	4/4	2	1	|HC	Eb	I									HC			0	0				
2	2	2	2a	6	6	1.0	1/2	1/2	4/4	2	1	V2/ii	Eb	I		V2/ii		V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
2	2	2	2a	7	7	1.0	3/4	3/4	4/4	2	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	3	3	3a	8	8	1.0	0	0	4/4	2	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	3	3a	9	9	1.0	1/4	1/4	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	3	3a	10	10	1.0	1/2	1/2	4/4	2	1	ii7(4)	Eb	I		ii7(4)		ii		7	4				mm7	0	0	2, 1, 3, 0		2	2
3	3	3	3a	11	11	1.0	3/4	3/4	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	4	4a	12	12	4.0	0	0	4/4	2	1	I|IAC}{	Eb	I		I		I					IAC	}{	M	0	0	0, 4, 1		0	0
5	5	5	5a	16	16	1.0	0	0	4/4	2	1	viio6(9)	Eb	I		viio6(9)		vii	o	6	9				o	0	0	2, -1, 5	0	5	2
5	5	5	5a	17	17	3.0	1/4	1/4	4/4	2	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	6	6a	20	20	1.0	0	0	4/4	2	1	I6(9)	Eb	I		I6(9)		I		6	9				M	0	0	4, 1, 0	2	0	4
6	6	6	6a	21	21	1.0	1/4	1/4	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	6	6a	22	22	2.0	1/2	1/2	4/4	2	1	i6	Eb	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
7	7	7	7a	24	24	2.0	0	0	4/4	2	1	V.V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	7	7a	26	26	2.0	1/2	1/2	4/4	2	1	viio7/V	Eb	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
8	8	8	8a	28	28	2.0	0	0	4/4	2	1	V|HC}	Eb	V		V		V					HC	}	M	0	0	1, 5, 2		1	1
8	8	8	8a	30	30	1.0	1/2	1/2	4/4	2	1	V(#7b64)	Eb	V		V(#7b64)		V			#7b64				M	0	0	1, 0, -3	6	1	1
8	8	8	8a	31	31	1.0	3/4	3/4	4/4	2	1	V	Eb	V		V		V							M	0	0	1, 5, 2		1	1
9	9	9	9a	32	32	2.0	0	0	4/4	2	1	I{	Eb	V		I		I						{	M	0	0	0, 4, 1		0	0
9	9	9	9a	34	34	2.0	1/2	1/2	4/4	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	10	10a	36	36	2.0	0	0	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
10	10	10	10a	38	38	2.0	1/2	1/2	4/4	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	11	11a	40	40	1.5	0	0	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
11	11	11	11a	83/2	83/2	0.5	3/8	3/8	4/4	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	11	11a	42	42	2.0	1/2	1/2	4/4	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	12	12a	44	44	2.0	0	0	4/4	2	1	ii6	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	12	12a	46	46	1.0	1/2	1/2	4/4	2	1	V(64)	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
12	12	12	12a	47	47	1.0	3/4	3/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	13	13a	48	48	2.0	0	0	4/4	2	1	vi|DC	Eb	V		vi		vi					DC		m	0	0	3, 0, 4		3	3
13	13	13	13a	50	50	2.0	1/2	1/2	4/4	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
14	14	14	14a	52	52	1.5	0	0	4/4	2	1	ii65	Eb	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
14	14	14	14a	107/2	107/2	0.5	3/8	3/8	4/4	2	1	V65/V	Eb	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
14	14	14	14a	54	54	1.0	1/2	1/2	4/4	2	1	V(64)	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
14	14	14	14a	55	55	1.0	3/4	3/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	15	15a	56	56	1.0	0	0	4/4	2	1	I|PAC}	Eb	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
15	15	15	15a	57	57	1.0	1/4	1/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	15	15a	58	58	1.25	1/2	1/2	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
15	15	15	15a	237/4	237/4	0.75	13/16	13/16	4/4	2	1	I.V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
1	1	16	1b	60	0	2.0	0	0	4/4	2	1	Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	16	1b	62	2	1.0	1/2	1/2	4/4	2	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
1	1	16	1b	63	3	0.5	3/4	3/4	4/4	2	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
1	1	16	1b	127/2	7/2	0.5	7/8	7/8	4/4	2	1	viio6/V	Eb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
2	2	17	2b	64	4	2.0	0	0	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	17	2b	65	5	0.0	1/4	1/4	4/4	2	1	|HC	Eb	I									HC			0	0				
2	2	17	2b	66	6	1.0	1/2	1/2	4/4	2	1	V2/ii	Eb	I		V2/ii		V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
2	2	17	2b	67	7	1.0	3/4	3/4	4/4	2	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	3	18	3b	68	8	1.0	0	0	4/4	2	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	18	3b	69	9	1.0	1/4	1/4	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	18	3b	70	10	1.0	1/2	1/2	4/4	2	1	ii7(4)	Eb	I		ii7(4)		ii		7	4				mm7	0	0	2, 1, 3, 0		2	2
3	3	18	3b	71	11	1.0	3/4	3/4	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	19	4b	72	12	4.0	0	0	4/4	2	1	I|IAC}{	Eb	I		I		I					IAC	}{	M	0	0	0, 4, 1		0	0
5	5	20	5b	76	16	1.0	0	0	4/4	2	1	viio6(9)	Eb	I		viio6(9)		vii	o	6	9				o	0	0	2, -1, 5	0	5	2
5	5	20	5b	77	17	3.0	1/4	1/4	4/4	2	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	21	6b	80	20	1.0	0	0	4/4	2	1	I6(9)	Eb	I		I6(9)		I		6	9				M	0	0	4, 1, 0	2	0	4
6	6	21	6b	81	21	1.0	1/4	1/4	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	21	6b	82	22	2.0	1/2	1/2	4/4	2	1	i6	Eb	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
7	7	22	7b	84	24	2.0	0	0	4/4	2	1	V.V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	22	7b	86	26	2.0	1/2	1/2	4/4	2	1	viio7/V	Eb	V		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
8	8	23	8b	88	28	2.0	0	0	4/4	2	1	V|HC}	Eb	V		V		V					HC	}	M	0	0	1, 5, 2		1	1
8	8	23	8b	90	30	1.0	1/2	1/2	4/4	2	1	V(#7b64)	Eb	V		V(#7b64)		V			#7b64				M	0	0	1, 0, -3	6	1	1
8	8	23	8b	91	31	1.0	3/4	3/4	4/4	2	1	V	Eb	V		V		V							M	0	0	1, 5, 2		1	1
9	9	24	9b	92	32	2.0	0	0	4/4	2	1	I{	Eb	V		I		I						{	M	0	0	0, 4, 1		0	0
9	9	24	9b	94	34	2.0	1/2	1/2	4/4	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	10	25	10b	96	36	2.0	0	0	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
10	10	25	10b	98	38	2.0	1/2	1/2	4/4	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	26	11b	100	40	1.5	0	0	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
11	11	26	11b	203/2	83/2	0.5	3/8	3/8	4/4	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
11	11	26	11b	102	42	2.0	1/2	1/2	4/4	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
12	12	27	12b	104	44	2.0	0	0	4/4	2	1	ii6	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
12	12	27	12b	106	46	1.0	1/2	1/2	4/4	2	1	V(64)	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
12	12	27	12b	107	47	1.0	3/4	3/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	28	13b	108	48	2.0	0	0	4/4	2	1	vi|DC	Eb	V		vi		vi					DC		m	0	0	3, 0, 4		3	3
13	13	28	13b	110	50	2.0	1/2	1/2	4/4	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
14	14	29	14b	112	52	1.5	0	0	4/4	2	1	ii65	Eb	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
14	14	29	14b	227/2	107/2	0.5	3/8	3/8	4/4	2	1	V65/V	Eb	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
14	14	29	14b	114	54	1.0	1/2	1/2	4/4	2	1	V(64)	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
14	14	29	14b	115	55	1.0	3/4	3/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	30	15b	116	56	1.0	0	0	4/4	2	1	I|PAC}	Eb	V		I		I					PAC	}	M	0	0	0, 4, 1		0	0
15	15	30	15b	117	57	1.0	1/4	1/4	4/4	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	30	15b	118	58	1.25	1/2	1/2	4/4	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
15	15	30	15b	477/4	237/4	0.75	13/16	13/16	4/4	2	1	I.V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	31	16a	120	60	2.0	0	0	4/4	2	1	#viio2/ii{	Eb	I		#viio2/ii		#vii	o	2		ii		{	o7	0	0	-2, 7, 4, 1		7	-2
16	16	31	16a	122	62	2.0	1/2	1/2	4/4	2	1	V7/ii	Eb	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
17	17	32	17a	124	64	1.5	0	0	4/4	2	1	II64	Eb	I		II64		II		64					M	0	0	3, 2, 6		2	3
17	17	32	17a	251/2	131/2	0.5	3/8	3/8	4/4	2	1	ii64	Eb	I		ii64		ii		64					m	0	0	3, 2, -1		2	3
17	17	32	17a	126	66	1.0	1/2	1/2	4/4	2	1	IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
17	17	32	17a	127	67	1.0	3/4	3/4	4/4	2	1	iv6	Eb	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
18	18	33	18a	128	68	4.0	0	0	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	19	34	19a	132	72	1.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
19	19	34	19a	133	73	1.0	1/4	1/4	4/4	2	1	V2/IV	Eb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
19	19	34	19a	134	74	1.0	1/2	1/2	4/4	2	1	IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
19	19	34	19a	135	75	1.0	3/4	3/4	4/4	2	1	It6	Eb	I		It6	It	vii	o	6	b3	V			It	0	0	-4, 0, 6		6	-4
20	20	35	20a	136	76	1.0	0	0	4/4	2	1	V[V|HC}	Eb	I	V	V		V					HC	}	M	0	0	1, 5, 2		1	1
20	20	35	20a	137	77	1.0	1/4	1/4	4/4	2	1	viio6/V	Eb	I	V	viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
20	20	35	20a	138	78	1.0	1/2	1/2	4/4	2	1	V	Eb	I	V	V		V							M	0	0	1, 5, 2		1	1
20	20	35	20a	139	79	1.0	3/4	3/4	4/4	2	1	viio6/V	Eb	I	V	viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
21	21	36	21a	140	80	1.0	0	0	4/4	2	1	viio64/V	Eb	I	V	viio64/V		vii	o	64		V			o	0	0	0, 6, 3		6	0
21	21	36	21a	141	81	3.0	1/4	1/4	4/4	2	1	V]	Eb	I	V	V		V							M	0	0	1, 5, 2		1	1
22	22	37	22a	144	84	2.0	0	0	4/4	2	1	I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
22	22	37	22a	146	86	2.0	1/2	1/2	4/4	2	1	V2/IV	Eb	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
23	23	38	23a	148	88	2.0	0	0	4/4	2	1	IV6	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
23	23	38	23a	150	90	1.0	1/2	1/2	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	38	23a	151	91	1.0	3/4	3/4	4/4	2	1	V65/IV	Eb	I		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
24	24	39	24a	152	92	2.0	0	0	4/4	2	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
24	24	39	24a	154	94	2.0	1/2	1/2	4/4	2	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
25	25	40	25a	156	96	2.0	0	0	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
25	25	40	25a	158	98	2.0	1/2	1/2	4/4	2	1	viio7/V	Eb	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
26	26	41	26a	160	100	2.0	0	0	4/4	2	1	V|HC}	Eb	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
26	26	41	26a	162	102	1.0	1/2	1/2	4/4	2	1	V(#7b64)	Eb	I		V(#7b64)		V			#7b64				M	0	0	1, 0, -3	6	1	1
26	26	41	26a	163	103	1.0	3/4	3/4	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
27	27	42	27a	164	104	2.0	0	0	4/4	2	1	I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
27	27	42	27a	166	106	2.0	1/2	1/2	4/4	2	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
28	28	43	28a	168	108	2.0	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
28	28	43	28a	170	110	2.0	1/2	1/2	4/4	2	1	V43	Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
29	29	44	29a	172	112	1.5	0	0	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
29	29	44	29a	347/2	227/2	0.5	3/8	3/8	4/4	2	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
29	29	44	29a	174	114	2.0	1/2	1/2	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
30	30	45	30a	176	116	2.0	0	0	4/4	2	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
30	30	45	30a	178	118	1.0	1/2	1/2	4/4	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
30	30	45	30a	179	119	1.0	3/4	3/4	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	46	31a	180	120	2.0	0	0	4/4	2	1	vi|DC	Eb	I		vi		vi					DC		m	0	0	3, 0, 4		3	3
31	31	46	31a	182	122	2.0	1/2	1/2	4/4	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
32	32	47	32a	184	124	1.5	0	0	4/4	2	1	ii65	Eb	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
32	32	47	32a	371/2	251/2	0.5	3/8	3/8	4/4	2	1	V65/V	Eb	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
32	32	47	32a	186	126	1.0	1/2	1/2	4/4	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
32	32	47	32a	187	127	1.0	3/4	3/4	4/4	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
33	33	48	33a	188	128	1.0	0	0	4/4	2	1	I|PAC}	Eb	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
33	33	48	33a	189	129	1.0	1/4	1/4	4/4	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
33	33	48	33a	190	130	2.0	1/2	1/2	4/4	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
