mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	0.5	0	3/8	2/4	2	1	C.V{	C	I		V		V						{	M	0	0	1, 5, 2		1	1
2	1	2	1a	1/2	1/2	1.0	0	0	2/4	2	1	I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	1	2	1a	3/2	3/2	1.0	1/4	1/4	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	2a	5/2	5/2	1.0	0	0	2/4	2	1	viio	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5
3	2	3	2a	7/2	7/2	1.0	1/4	1/4	2/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	4	3a	9/2	9/2	1.0	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
4	3	4	3a	11/2	11/2	0.5	1/4	1/4	2/4	2	1	IV	C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	4	3a	6	6	0.5	3/8	3/8	2/4	2	1	V65/V	C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
5	4	5	4a	13/2	13/2	2.0	0	0	2/4	2	1	V|HC}	C	I		V		V					HC	}	M	0	0	1, 5, 2		1	1
6	5	6	5a	17/2	17/2	1.0	0	0	2/4	2	1	I6{	C	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
6	5	6	5a	19/2	19/2	1.0	1/4	1/4	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
7	6	7	6a	21/2	21/2	1.0	0	0	2/4	2	1	viio	C	I		viio		vii	o						o	0	0	5, 2, -1		5	5
7	6	7	6a	23/2	23/2	1.0	1/4	1/4	2/4	2	1	V7	C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	8	7a	25/2	25/2	1.0	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
8	7	8	7a	27/2	27/2	1.0	1/4	1/4	2/4	2	1	V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
9	8	9	8a	29/2	29/2	1.0	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
9	8	9	8a	31/2	31/2	1.0	1/4	1/4	2/4	2	1	V65	C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	9	10	9a	33/2	33/2	0.5	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
10	9	10	9a	17	17	0.5	1/8	1/8	2/4	2	1	I6	C	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	9	10	9a	35/2	35/2	0.5	1/4	1/4	2/4	2	1	ii6	C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
10	9	10	9a	18	18	0.5	3/8	3/8	2/4	2	1	V	C	I		V		V							M	0	0	1, 5, 2		1	1
11	10	11	10a	37/2	37/2	2.0	0	0	2/4	2	1	I|PAC}	C	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
11	10	11	10a	20	20	0.0	3/8	3/8	2/4	2	1	{	C	I										{		0	0				
12	11	12	11a	41/2	41/2	2.0	0	0	2/4	2	1	I	C	I		I		I							M	0	0	0, 4, 1		0	0
13	12	13	12a	45/2	45/2	4.0	0	0	2/4	2	1	V6	C	I		V6		V		6					M	0	0	5, 2, 1		1	5
15	14	15	14a	53/2	53/2	2.0	0	0	2/4	2	1	V.V43	C	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
16	15	16	15a	57/2	57/2	2.0	0	0	2/4	2	1	V7	C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	17	16a	61/2	61/2	1.0	0	0	2/4	2	1	vi	C	V		vi		vi							m	0	0	3, 0, 4		3	3
17	16	17	16a	63/2	63/2	1.0	1/4	1/4	2/4	2	1	iii6	C	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
18	17	18	17a	65/2	65/2	1.5	0	0	2/4	2	1	ii6	C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
18	17	18	17a	34	34	0.5	3/8	3/8	2/4	2	1	V65/V	C	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
19	18	19	18a	69/2	69/2	1.0	0	0	2/4	2	1	V|HC}	C	V		V		V					HC	}	M	0	0	1, 5, 2		1	1
19	18	19	18a	71/2	71/2	0.5	1/4	1/4	2/4	2	1	V2{	C	V		V2		V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
19	18	19	18a	36	36	0.5	3/8	3/8	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
20	19	20	19a	73/2	73/2	0.5	0	0	2/4	2	1	V64	C	V		V64		V		64					M	0	0	2, 1, 5		1	2
20	19	20	19a	37	37	0.5	1/8	1/8	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
20	19	20	19a	75/2	75/2	0.5	1/4	1/4	2/4	2	1	V65	C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	19	20	19a	38	38	0.5	3/8	3/8	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
21	20	21	20a	77/2	77/2	1.0	0	0	2/4	2	1	V|HC}	C	V		V		V					HC	}	M	0	0	1, 5, 2		1	1
21	20	21	20a	79/2	79/2	0.5	1/4	1/4	2/4	2	1	V2{	C	V		V2		V		2				{	Mm7	0	0	-1, 1, 5, 2		1	-1
21	20	21	20a	40	40	0.5	3/8	3/8	2/4	2	1	I6	C	V		I6		I		6					M	0	0	4, 1, 0		0	4
22	21	22	21a	81/2	81/2	0.5	0	0	2/4	2	1	V64	C	V		V64		V		64					M	0	0	2, 1, 5		1	2
22	21	22	21a	41	41	0.5	1/8	1/8	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
22	21	22	21a	83/2	83/2	0.5	1/4	1/4	2/4	2	1	V65	C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
22	21	22	21a	42	42	0.5	3/8	3/8	2/4	2	1	I	C	V		I		I							M	0	0	0, 4, 1		0	0
23	22	23	22a	85/2	85/2	4.0	0	0	2/4	2	1	V|HC}	C	V		V		V					HC	}	M	0	0	1, 5, 2		1	1
23	22	23	22a	44	44	0.0	3/8	3/8	2/4	2	1	{	C	V										{		0	0				
