mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1	0a	0	0	1.25	0	11/16	3/4	2	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	2	1a	5/4	5/4	1.0	1/4	1/4	3/4	2	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	1	2	1a	9/4	9/4	1.0	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
3	2	3	2a	13/4	13/4	1.0	0	0	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
3	2	3	2a	17/4	17/4	1.0	1/4	1/4	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	3	2a	21/4	21/4	1.0	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
4	3	4	3a	25/4	25/4	1.0	0	0	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	3	4	3a	29/4	29/4	1.0	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	3	4	3a	33/4	33/4	1.0	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	5	4a	37/4	37/4	1.0	0	0	3/4	2	1	IV6|EC	F	I		IV6	IV		6			EC		M	0	0	3, 0, -1		-1	3
5	4	5	4a	41/4	41/4	1.0	1/4	1/4	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
5	4	5	4a	45/4	45/4	1.0	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
6	5	6	5a	49/4	49/4	1.0	0	0	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
6	5	6	5a	53/4	53/4	1.0	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
6	5	6	5a	57/4	57/4	1.0	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	7	6a	61/4	61/4	3.0	0	0	3/4	2	1	I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
7	6	7	6a	65/4	65/4	0.0	1/4	1/4	3/4	2	1	|PAC	F	I								PAC			0	0				
7	6	7	6a	199/12	199/12	0.0	1/3	1/3	3/4	2	1	{	F	I									{		0	0				
8	7	8	7a	73/4	73/4	1.0	0	0	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
8	7	8	7a	77/4	77/4	2.0	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
9	8	9	8a	85/4	85/4	1.0	0	0	3/4	2	1	I(94)	F	I		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
9	8	9	8a	89/4	89/4	1.0	1/4	1/4	3/4	2	1	V2/IV	F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
9	8	9	8a	93/4	93/4	1.0	1/2	1/2	3/4	2	1	viio/IV	F	I		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4
10	9	10	9a	97/4	97/4	1.0	0	0	3/4	2	1	IV(9)	F	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
10	9	10	9a	101/4	101/4	1.0	1/4	1/4	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	9	10	9a	105/4	105/4	1.0	1/2	1/2	3/4	2	1	V65/V	F	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
11	10	11	10a	109/4	109/4	3.0	0	0	3/4	2	1	V|HC}	F	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
12	11	12	11a	121/4	121/4	3.0	0	0	3/4	2	1	V.V43{	F	V		V43	V		43				{	Mm7	0	0	2, -1, 1, 5		1	2
13	12	13	12a	133/4	133/4	3.0	0	0	3/4	2	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
14	13	14	13a	145/4	145/4	3.0	0	0	3/4	2	1	V65	F	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
15	14	15	14a	157/4	157/4	3.0	0	0	3/4	2	1	I	F	V		I	I							M	0	0	0, 4, 1		0	0
16	15	16	15a	169/4	169/4	1.0	0	0	3/4	2	1	V65/V	F	V		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
16	15	16	15a	173/4	173/4	1.0	1/4	1/4	3/4	2	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
16	15	16	15a	177/4	177/4	1.0	1/2	1/2	3/4	2	1	V2	F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	16	17	16a	181/4	181/4	0.6666666666666643	0	0	3/4	2	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
17	16	17	16a	551/12	551/12	0.3333333333333357	1/6	1/6	3/4	2	1	IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
17	16	17	16a	185/4	185/4	1.0	1/4	1/4	3/4	2	1	V(64)	F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
17	16	17	16a	189/4	189/4	1.0	1/2	1/2	3/4	2	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	17	18	17a	193/4	193/4	3.0	0	0	3/4	2	1	I6|EC}	F	V		I6	I		6			EC	}	M	0	0	4, 1, 0		0	4
19	18	19	18a	205/4	205/4	1.0	0	0	3/4	2	1	viio7/V{	F	V		viio7/V	vii	o	7		V		{	o7	0	0	6, 3, 0, -3		6	6
