mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	4.5	0	0	3/8	2	1	Eb.I{	Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
4	4	4	4a	9/2	9/2	0.5	0	0	3/8	2	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	4	4	4a	5	5	0.5	1/8	1/8	3/8	2	1	vi7	Eb	I		vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
4	4	4	4a	11/2	11/2	0.5	1/4	1/4	3/8	2	1	V	Eb	I		V		V							M	0	0	1, 5, 2		1	1
5	5	5	5a	6	6	0.5	0	0	3/8	2	1	V2	Eb	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	5	5	5a	13/2	13/2	0.5	1/8	1/8	3/8	2	1	vi64	Eb	I		vi64		vi		64					m	0	0	4, 3, 0		3	4
5	5	5	5a	7	7	0.5	1/4	1/4	3/8	2	1	viio6	Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	6	6a	15/2	15/2	0.5	0	0	3/8	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	6	6	6a	8	8	0.5	1/8	1/8	3/8	2	1	vi	Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
6	6	6	6a	17/2	17/2	0.5	1/4	1/4	3/8	2	1	IV	Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	7	7a	9	9	1.0	0	0	3/8	2	1	V(64)	Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	7	7a	10	10	0.5	1/4	1/4	3/8	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	8	8a	21/2	21/2	1.5	0	0	3/8	2	1	I|IAC}{	Eb	I		I		I					IAC	}{	M	0	0	0, 4, 1		0	0
9	9	9	9a	12	12	1.5	0	0	3/8	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	10	10a	27/2	27/2	1.5	0	0	3/8	2	1	ii6	Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
11	11	11	11a	15	15	1.5	0	0	3/8	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	12	12a	33/2	33/2	1.0	0	0	3/8	2	1	I|PAC	Eb	I		I		I					PAC		M	0	0	0, 4, 1		0	0
12	12	12	12a	35/2	35/2	0.5	1/4	1/4	3/8	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	13	13a	18	18	0.5	0	0	3/8	2	1	I	Eb	I		I		I							M	0	0	0, 4, 1		0	0
13	13	13	13a	37/2	37/2	0.5	1/8	1/8	3/8	2	1	I6	Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
13	13	13	13a	19	19	0.5	1/4	1/4	3/8	2	1	V7	Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	14	14a	39/2	39/2	6.0	0	0	3/8	2	1	I|PAC}	Eb	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
16	16	16	16a	45/2	45/2	0.0	0	0	3/8	2	1	{	Eb	I										{		0	0				
18	18	18	18a	51/2	51/2	3.0	0	0	3/8	2	1	V6	Eb	I		V6		V		6					M	0	0	5, 2, 1		1	5
20	20	20	20a	57/2	57/2	1.0	0	0	3/8	2	1	V.V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
20	20	20	20a	59/2	59/2	0.5	1/4	1/4	3/8	2	1	V65	Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
21	21	21	21a	30	30	1.5	0	0	3/8	2	1	I|HC	Eb	V		I		I					HC		M	0	0	0, 4, 1		0	0
22	22	22	22a	63/2	63/2	1.0	0	0	3/8	2	1	V43	Eb	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	22	22	22a	65/2	65/2	0.5	1/4	1/4	3/8	2	1	V65	Eb	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	23	23	23a	33	33	1.5	0	0	3/8	2	1	I|HC	Eb	V		I		I					HC		M	0	0	0, 4, 1		0	0
24	24	24	24a	69/2	69/2	3.0	0	0	3/8	2	1	ii6	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
26	26	26	26a	75/2	75/2	1.0	0	0	3/8	2	1	V(64)}	Eb	V		V(64)		V			64			}	M	0	0	1, 0, 4		1	1
26	26	26	26a	77/2	77/2	2.0	1/4	1/4	3/8	2	1	V|HC	Eb	V		V		V					HC		M	0	0	1, 5, 2		1	1
28	28	28	28a	81/2	81/2	2.0	0	0	3/8	2	1	I{	Eb	V		I		I						{	M	0	0	0, 4, 1		0	0
29	29	29	29a	85/2	85/2	1.0	1/8	1/8	3/8	2	1	ii	Eb	V		ii		ii							m	0	0	2, -1, 3		2	2
30	30	30	30a	87/2	87/2	2.0	0	0	3/8	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	31	31	31a	91/2	91/2	1.0	1/8	1/8	3/8	2	1	I	Eb	V		I		I							M	0	0	0, 4, 1		0	0
32	32	32	32a	93/2	93/2	1.5	0	0	3/8	2	1	I6	Eb	V		I6		I		6					M	0	0	4, 1, 0		0	4
33	33	33	33a	48	48	1.0	0	0	3/8	2	1	IV	Eb	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
33	33	33	33a	49	49	0.5	1/4	1/4	3/8	2	1	ii6	Eb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
34	34	34	34a	99/2	99/2	1.0	0	0	3/8	2	1	V(64)	Eb	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
34	34	34	34a	101/2	101/2	0.5	1/4	1/4	3/8	2	1	V7	Eb	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
