mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1	1a	0	0	4.0	0	0	3/4	2	1		Eb.I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	2	2a	4	4	1.0	1/4	1/4	3/4	2	1		viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	2	2a	5	5	1.0	1/2	1/2	3/4	2	1		I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	3	3a	6	6	1.0	0	0	3/4	2	1		#viio43/ii	Eb	I		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
3	3	3	3a	7	7	2.0	1/4	1/4	3/4	2	1		ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	4	4a	9	9	1.0	0	0	3/4	2	1		V(64)}	Eb	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
4	4	4	4a	10	10	2.0	1/4	1/4	3/4	2	1		V|HC	Eb	I		V	V					HC		M	0	0	1, 5, 2		1	1
5	5	5	5a	12	12	2.0	0	0	3/4	2	1		I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
5	5	5	5a	14	14	1.0	1/2	1/2	3/4	2	1		vi6	Eb	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
6	6	6	6a	15	15	1.0	0	0	3/4	2	1		ii(4)	Eb	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
6	6	6	6a	16	16	1.0	1/4	1/4	3/4	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	6	6a	17	17	1.0	1/2	1/2	3/4	2	1		vi|DC	Eb	I		vi	vi					DC		m	0	0	3, 0, 4		3	3
7	7	7	7a	18	18	1.0	0	0	3/4	2	1		ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	7	7	7a	19	19	1.0	1/4	1/4	3/4	2	1		V(64)	Eb	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
7	7	7	7a	20	20	1.0	1/2	1/2	3/4	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	8	8a	21	21	3.0	0	0	3/4	2	1		I[I|PAC}{	Eb	I	I	I	I					PAC	}{	M	0	0	0, 4, 1		0	0
9	9	9	9a	24	24	0.5	0	0	3/4	2	1		viio6(2)	Eb	I	I	viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
9	9	9	9a	49/2	49/2	2.5	1/8	1/8	3/4	2	1		viio6	Eb	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
10	10	10	10a	27	27	3.0	0	0	3/4	2	1		I	Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
11	11	11	11a	30	30	0.5	0	0	3/4	2	1		viio6(2)	Eb	I	I	viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
11	11	11	11a	61/2	61/2	2.5	1/8	1/8	3/4	2	1		viio6	Eb	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
12	12	12	12a	33	33	1.5	0	0	3/4	2	1		I]	Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
