mc	mn	timesig	onset	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	6/8	0	2	2	3/16		1/8	3/2		3	57		9
1	1	6/8	0	2	1	1/4		1/4	1		4	64		5
1	1	6/8	0	1	1	3/16		1/8	3/2		7	73		0
1	1	6/8	3/16	2	2	1/16		1/16	1		5	59		10
1	1	6/8	3/16	1	1	1/16		1/16	1		2	74		1
1	1	6/8	1/4	2	2	1/8		1/8	1		3	57		11
1	1	6/8	1/4	2	1	1/8		1/8	1		4	64		6
1	1	6/8	1/4	1	1	1/8		1/8	1		7	73		2
1	1	6/8	3/8	2	2	1/4		1/4	1		7	61		12
1	1	6/8	3/8	2	1	1/4		1/4	1		4	64		7
1	1	6/8	3/8	1	1	1/4		1/4	1		4	76		3
1	1	6/8	5/8	2	2	1/8		1/8	1		7	61		13
1	1	6/8	5/8	2	1	1/8		1/8	1		4	64		8
1	1	6/8	5/8	1	1	1/8		1/8	1		4	76		4
2	2	6/8	0	2	2	3/16		1/8	3/2		8	56		23
2	2	6/8	0	2	1	1/4		1/4	1		4	64		19
2	2	6/8	0	1	1	3/16		1/8	3/2		5	71		14
2	2	6/8	3/16	2	2	1/16		1/16	1		3	57		24
2	2	6/8	3/16	1	1	1/16		1/16	1		7	73		15
2	2	6/8	1/4	2	2	1/8		1/8	1		8	56		25
2	2	6/8	1/4	2	1	1/8		1/8	1		4	64		20
2	2	6/8	1/4	1	1	1/8		1/8	1		5	71		16
2	2	6/8	3/8	2	2	1/4		1/4	1		5	59		26
2	2	6/8	3/8	2	1	1/4		1/4	1		4	64		21
2	2	6/8	3/8	1	1	1/4		1/4	1		2	74		17
2	2	6/8	5/8	2	2	1/8		1/8	1		5	59		27
2	2	6/8	5/8	2	1	1/8		1/8	1		4	64		22
2	2	6/8	5/8	1	1	1/8		1/8	1		2	74		18
3	3	6/8	0	2	2	1/4		1/4	1		6	54		36
3	3	6/8	0	2	1	1/4		1/4	1		4	64		32
3	3	6/8	0	1	1	1/4		1/4	1		3	69		28
3	3	6/8	1/4	2	2	1/8		1/8	1		6	54		37
3	3	6/8	1/4	2	1	1/8		1/8	1		4	64		33
3	3	6/8	1/4	1	1	1/8		1/8	1		3	69		29
3	3	6/8	3/8	2	2	1/4		1/4	1		8	56		38
3	3	6/8	3/8	2	1	1/4		1/4	1		4	64		34
3	3	6/8	3/8	1	1	1/4		1/4	1		5	71		30
3	3	6/8	5/8	2	2	1/8		1/8	1		8	56		39
3	3	6/8	5/8	2	1	1/8		1/8	1		4	64		35
3	3	6/8	5/8	1	1	1/8		1/8	1		5	71		31
4	4	6/8	0	2	2	1/4		1/4	1		3	57		49
4	4	6/8	0	2	1	1/4		1/4	1		4	64		46
4	4	6/8	0	1	1	1/4		1/4	1		7	73		40
4	4	6/8	1/4	2	1	1/8		1/8	1		2	50		47
4	4	6/8	1/4	1	2	1/8		1/8	1		5	71		45
4	4	6/8	1/4	1	1	1/16		1/16	1		4	76		41
4	4	6/8	5/16	1	1	1/16		1/16	1		2	74		42
4	4	6/8	3/8	2	1	3/8		1/4	3/2		4	52		48
4	4	6/8	3/8	1	1	1/4		1/4	1		3	69		43
4	4	6/8	3/8	1	1	1/4		1/4	1		7	73		43
4	4	6/8	5/8	1	1	1/8		1/8	1		8	68		44
4	4	6/8	5/8	1	1	1/8		1/8	1		5	71		44
5	5	6/8	0	2	2	3/16		1/8	3/2		3	57		59
5	5	6/8	0	2	1	1/4		1/4	1		4	64		55
5	5	6/8	0	1	1	3/16		1/8	3/2		7	73		50
5	5	6/8	3/16	2	2	1/16		1/16	1		5	59		60
5	5	6/8	3/16	1	1	1/16		1/16	1		2	74		51
5	5	6/8	1/4	2	2	1/8		1/8	1		3	57		61
5	5	6/8	1/4	2	1	1/8		1/8	1		4	64		56
5	5	6/8	1/4	1	1	1/8		1/8	1		7	73		52
